Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,CLINICA MEDICO QUIRURGICA LTDA,COLOMBIA,NORTE SANTANDER,CUCUTA,CLINICA MEDICO QUIRURGICA LTDA_NORTE SANTANDER_CUCUTA
4,CLINICA MEDICO QUIRURGICA LTDA,COLOMBIA,NORTE SANTANDER,VILLA DEL ROSARIO,CLINICA MEDICO QUIRURGICA LTDA_NORTE SANTANDER_VILLA DEL ROSARIO
4,CAP BLAS DE LEZO,COLOMBIA,BOLIVAR,CARTAGENA,CAP BLAS DE LEZO_BOLIVAR_CARTAGENA
4,UPSS LA CANDELARIA - EL AMPARO,COLOMBIA,CORDOBA,MONTERIA,UPSS LA CANDELARIA - EL AMPARO_CORDOBA_MONTERIA
4,ESE HOSPITAL JUAN LUIS LONDOÑOG,COLOMBIA,NORTE SANTANDER,EL ZULIA,ESE HOSPITAL JUAN LUIS LONDOÑOG_NORTE SANTANDER_EL ZULIA
4,UPSS CAMU CAMILO TORRES - EL AMPARO,COLOMBIA,CORDOBA,MONTERIA,UPSS CAMU CAMILO TORRES - EL AMPARO_CORDOBA_MONTERIA
4,CORPORACION IPS SANTANDER,COLOMBIA,CESAR,AGUACHICA,CORPORACION IPS SANTANDER_CESAR_AGUACHICA
4,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE,COLOMBIA,BOLIVAR,CARTAGENA,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE_BOLIVAR_CARTAGENA
4,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE,COLOMBIA,SUCRE,SINCELEJO,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE_SUCRE_SINCELEJO
3,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE,COLOMBIA,BOLIVAR,ARJONA,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE_BOLIVAR_ARJONA
4,ESE HOSPITAL LOCAL SITIONUEVO,COLOMBIA,MAGDALENA,SITIO NUEVO,ESE HOSPITAL LOCAL SITIONUEVO_MAGDALENA_SITIO NUEVO
4,EAT CENTRO MEDICO SANTA MARIA IPS,COLOMBIA,CORDOBA,* CORDOBA. MUNICIPIO DESCONOCIDO,EAT CENTRO MEDICO SANTA MARIA IPS_CORDOBA_* CORDOBA. MUNICIPIO DESCONOCIDO
4,EDUARDO JOSE FAJARDO JAIMES,COLOMBIA,NORTE SANTANDER,CUCUTA,EDUARDO JOSE FAJARDO JAIMES_NORTE SANTANDER_CUCUTA
4,CLNICA BLAS DE LEZO SEDE 2,COLOMBIA,BOLIVAR,CARTAGENA,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA
3,CLNICA BLAS DE LEZO SEDE 2,COLOMBIA,BOLIVAR,CARTAGENA,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA
4,CLNICA BLAS DE LEZO SEDE 2,COLOMBIA,BOLIVAR,TURBACO,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_TURBACO
4,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA,COLOMBIA,BOLIVAR,ARJONA,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_ARJONA
