Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,BATALLON DE FUSILEROS DE INFANTERIA DE MARINA NO,COLOMBIA,BOLIVAR,CARTAGENA,BATALLON DE FUSILEROS DE INFANTERIA DE MARINA NO_BOLIVAR_CARTAGENA
4,CLNICA BLAS DE LEZO SEDE 2,COLOMBIA,BOLIVAR,CARTAGENA,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA
4,CLINICA MADRE BERNARDA COMUNIDAD DE HERMANAS FRANC,COLOMBIA,BOLIVAR,CARTAGENA,CLINICA MADRE BERNARDA COMUNIDAD DE HERMANAS FRANC_BOLIVAR_CARTAGENA
4,ESE HOSPITAL SAN CARLOS,COLOMBIA,HUILA,AIPE,ESE HOSPITAL SAN CARLOS_HUILA_AIPE
4,HOSPITAL NAVAL DE CARTAGENA,COLOMBIA,BOLIVAR,ARJONA,HOSPITAL NAVAL DE CARTAGENA_BOLIVAR_ARJONA
3,CLINICA SAHAGUN IPS SA,COLOMBIA,CORDOBA,SAHAGUN,CLINICA SAHAGUN IPS SA_CORDOBA_SAHAGUN
4,HOSPITAL SANTA TERESA DE JESUS DE AVILA,COLOMBIA,GUAJIRA,DIBULLA,HOSPITAL SANTA TERESA DE JESUS DE AVILA_GUAJIRA_DIBULLA
4,UNIDAD CLINICA SAN NICOLAS,COLOMBIA,SANTANDER,BARRANCABERMEJA,UNIDAD CLINICA SAN NICOLAS_SANTANDER_BARRANCABERMEJA
4,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR_ATLANTICO_BARRANQUILLA
4,ESE UNIDAD LOCAL DE SALUD DE SUAN,COLOMBIA,ATLANTICO,SUAN,ESE UNIDAD LOCAL DE SALUD DE SUAN_ATLANTICO_SUAN
4,FUNDACION MEDICO EDUCATIVA FUMED SEDE SINCE,COLOMBIA,SUCRE,SINCE,FUNDACION MEDICO EDUCATIVA FUMED SEDE SINCE_SUCRE_SINCE
4,EMPRESA SOCIAL DEL ESTADO CLINICA MATERNIDAD RAFAE,COLOMBIA,BOLIVAR,VILLANUEVA,EMPRESA SOCIAL DEL ESTADO CLINICA MATERNIDAD RAFAE_BOLIVAR_VILLANUEVA
4,ESE HOSPITAL LOCAL MAHATES,COLOMBIA,BOLIVAR,MAHATES,ESE HOSPITAL LOCAL MAHATES_BOLIVAR_MAHATES
4,IPS UNVERSITARIA SEDE HOSPITAL LA MANGA,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNVERSITARIA SEDE HOSPITAL LA MANGA_ATLANTICO_BARRANQUILLA
4,ESE HOSPITAL DE PALMAR DE VARELA,COLOMBIA,ATLANTICO,PALMAR DE VARELA,ESE HOSPITAL DE PALMAR DE VARELA_ATLANTICO_PALMAR DE VARELA
4,CAJA DE COMPENSACION FAMILIAR DEL VALLE IPS COMFAN,COLOMBIA,VALLE,BUGA,CAJA DE COMPENSACION FAMILIAR DEL VALLE IPS COMFAN_VALLE_BUGA
4,HOSPITAL JOSE DAVID PADILLA VILLAFAÑE ESE,COLOMBIA,CESAR,AGUACHICA,HOSPITAL JOSE DAVID PADILLA VILLAFAÑE ESE_CESAR_AGUACHICA
4,CBI COLOMBIANA SA,COLOMBIA,BOLIVAR,CARTAGENA,CBI COLOMBIANA SA_BOLIVAR_CARTAGENA
4,ESE HOSPITAL LOCAL DE TENERIFE,COLOMBIA,MAGDALENA,TENERIFE,ESE HOSPITAL LOCAL DE TENERIFE_MAGDALENA_TENERIFE
4,ESE HOSPITAL ALEJANDRO MAESTRE SIERRA,COLOMBIA,MAGDALENA,ARIGUANI (EL DIFICIL),ESE HOSPITAL ALEJANDRO MAESTRE SIERRA_MAGDALENA_ARIGUANI (EL DIFICIL)
4,CORPORACION IPS COSTA ATLANTICA TURBACO,COLOMBIA,BOLIVAR,TURBACO,CORPORACION IPS COSTA ATLANTICA TURBACO_BOLIVAR_TURBACO
4,UAB PEDRO DE HEREDIA SALUD TOTALEPS CARTAGENA,COLOMBIA,BOLIVAR,CARTAGENA,UAB PEDRO DE HEREDIA SALUD TOTALEPS CARTAGENA_BOLIVAR_CARTAGENA
