Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,FUNDACION CLINICA SHAIO,COLOMBIA,BOGOTA,BOGOTA,FUNDACION CLINICA SHAIO_BOGOTA_BOGOTA
4,CORP SALUDCOOP IPS COMPLEJO AV 68 FONTIBON,COLOMBIA,BOGOTA,BOGOTA,CORP SALUDCOOP IPS COMPLEJO AV 68 FONTIBON_BOGOTA_BOGOTA
4,CLINICA COLSANITAS SA,COLOMBIA,BOGOTA,BOGOTA,CLINICA COLSANITAS SA_BOGOTA_BOGOTA
4,HOSPITAL RAFAEL URIBE UPA BRAVO PAEZ,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL RAFAEL URIBE UPA BRAVO PAEZ_BOGOTA_BOGOTA
4,CENTRO MEDICO FEDERMAN KENNEDY MED ASOC KENNEDY,COLOMBIA,BOGOTA,BOGOTA,CENTRO MEDICO FEDERMAN KENNEDY MED ASOC KENNEDY_BOGOTA_BOGOTA
4,CLINICA UNIVERSITARIA EL BOSQUE USAQUEN,COLOMBIA,BOGOTA,BOGOTA,CLINICA UNIVERSITARIA EL BOSQUE USAQUEN_BOGOTA_BOGOTA
4,CAFESALUD RESTREPO - ANTONIO NARIÑO,COLOMBIA,BOGOTA,BOGOTA,CAFESALUD RESTREPO - ANTONIO NARIÑO_BOGOTA_BOGOTA
4,CORPORACION IPS SALUDCOOP CLINICA POLICARCA,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS SALUDCOOP CLINICA POLICARCA_BOGOTA_BOGOTA
4,ESTUDIOS E INVERSIONES MEDICAS SA ESIMED SA,COLOMBIA,BOGOTA,BOGOTA,ESTUDIOS E INVERSIONES MEDICAS SA ESIMED SA_BOGOTA_BOGOTA
4,CENTRO DE ATENCIÓN EN SALUD CAFAM COMPAÑIA COLOMBI,COLOMBIA,BOGOTA,BOGOTA,CENTRO DE ATENCIÓN EN SALUD CAFAM COMPAÑIA COLOMBI_BOGOTA_BOGOTA
4,HOSPITAL PABLO VI BOSA ESE UPA LAURELES,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL PABLO VI BOSA ESE UPA LAURELES_BOGOTA_BOGOTA
4,UNIDAD MEDICA QUIRURGICA GRANADINA LTDA,COLOMBIA,BOGOTA,BOGOTA,UNIDAD MEDICA QUIRURGICA GRANADINA LTDA_BOGOTA_BOGOTA
4,UPA ESTRADA,COLOMBIA,BOGOTA,BOGOTA,UPA ESTRADA_BOGOTA_BOGOTA
4,UME CHAPINERO SALUD TOTAL TEUSAQUILLO,COLOMBIA,BOGOTA,BOGOTA,UME CHAPINERO SALUD TOTAL TEUSAQUILLO_BOGOTA_BOGOTA
4,CLINICENTRO CIUDAD SALITRE PREPAGO,COLOMBIA,BOGOTA,BOGOTA,CLINICENTRO CIUDAD SALITRE PREPAGO_BOGOTA_BOGOTA
4,ESE HOSPITAL DE USME I NIVEL - UPA FISCALA SAN CAM,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL DE USME I NIVEL - UPA FISCALA SAN CAM_BOGOTA_BOGOTA
4,CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGO,COLOMBIA,BOGOTA,BOGOTA,CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGO_BOGOTA_BOGOTA
4,ESE SAN CRISTOBAL UPA BELLO HORIZONTE,COLOMBIA,BOGOTA,BOGOTA,ESE SAN CRISTOBAL UPA BELLO HORIZONTE_BOGOTA_BOGOTA
4,HOSPITAL MILITAR CENTRAL CHAPINERO,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL MILITAR CENTRAL CHAPINERO_BOGOTA_BOGOTA
4,HOSPITAL ENGATIVA ESE II NIVEL SEDE CL 80,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL ENGATIVA ESE II NIVEL SEDE CL 80_BOGOTA_BOGOTA
4,COLSUBSIDIO SANTA LIBRADA USME,COLOMBIA,BOGOTA,BOGOTA,COLSUBSIDIO SANTA LIBRADA USME_BOGOTA_BOGOTA
4,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE - USAQU,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE - USAQU_BOGOTA_BOGOTA
4,DISPENSARIO MEDICO FUERZA AEREA,COLOMBIA,BOGOTA,BOGOTA,DISPENSARIO MEDICO FUERZA AEREA_BOGOTA_BOGOTA
4,VIRREY SOLIS UUBC AMERICAS-PUENTE ARANDA,COLOMBIA,CUNDINAMARCA,SOACHA,VIRREY SOLIS UUBC AMERICAS-PUENTE ARANDA_CUNDINAMARCA_SOACHA
4,PREVIMEDIC SA,COLOMBIA,BOGOTA,BOGOTA,PREVIMEDIC SA_BOGOTA_BOGOTA
4,CLINICA COLSANITAS CLINISANITAS PRIMAVERA-PUENTE A,COLOMBIA,BOGOTA,BOGOTA,CLINICA COLSANITAS CLINISANITAS PRIMAVERA-PUENTE A_BOGOTA_BOGOTA
4,HOSPITAL DE SUBA ESE II NIVEL CAMI SUBA - SUBA,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL DE SUBA ESE II NIVEL CAMI SUBA - SUBA_BOGOTA_BOGOTA
4,CORPORACION IPS SALUDCOOP COODONTOLOGOS USAQUEN,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS SALUDCOOP COODONTOLOGOS USAQUEN_BOGOTA_BOGOTA
4,CORPORACION CLINICA SALUDCOOP BOGOTA BARRIOS UNI,COLOMBIA,BOGOTA,BOGOTA,CORPORACION CLINICA SALUDCOOP BOGOTA BARRIOS UNI_BOGOTA_BOGOTA
4,CLINICA JORGE PIÑEROS CORPAS,COLOMBIA,CUNDINAMARCA,CHIA,CLINICA JORGE PIÑEROS CORPAS_CUNDINAMARCA_CHIA
4,COMUNIDAD CIUDAD BOLIVAR,COLOMBIA,BOGOTA,BOGOTA,COMUNIDAD CIUDAD BOLIVAR_BOGOTA_BOGOTA
