ds,Dengue,Zika,Chikungunya,Varicela
2010-12-06,103429.81894585052,,,232434.63726416192
2010-12-13,103706.22522310885,,,233938.55313394175
2010-12-20,104078.80632021208,,,235312.26463455742
2010-12-27,104463.92170498503,,,236743.93568633657
2011-01-03,104812.52209962942,,,238342.9558120714
2011-01-10,105148.71907917038,,,240091.62510341412
2011-01-17,105529.47018898444,,,241900.79665294487
2011-01-24,105977.03278415448,,,243698.32569659906
2011-01-31,106457.32548907814,,,245474.25795206497
2011-02-07,106918.41949678553,,,247269.08636740118
2011-02-14,107337.85849959518,,,249137.0583724113
2011-02-21,107727.7064525492,,,251112.33459784262
2011-02-28,108102.17798186679,,,253188.0442595037
2011-03-07,108453.52759056841,,,255317.9965758758
2011-03-14,108763.91481489681,,,257448.92243134676
2011-03-21,109033.7961656518,,,259564.15335271202
2011-03-28,109289.72025451642,,,261694.75245328344
2011-04-04,109562.41988473646,,,263878.2891526607
2011-04-11,109861.12370254374,,,266106.67092773813
2011-04-18,110171.32069020305,,,268327.1772146891
2011-04-25,110474.80169088721,,,270502.3606881086
2011-05-02,110768.78429127546,,,272657.017859136
2011-05-09,111066.77019913025,,,274846.102960107
2011-05-16,111384.36637140698,,,277448.10629248485
2011-05-23,111724.8068172861,,,280010.3770373657
2011-05-30,112075.35817996964,,,282443.9903749054
2011-06-06,112417.00150595329,,,284743.8807220901
2011-06-13,112741.97239802085,,,286992.29419744253
2011-06-20,113065.94692001255,,,289260.44669990597
2011-06-27,113418.97257931446,,,291529.9972366867
2011-07-04,113813.20580306459,,,293743.2462635861
2011-07-11,114212.69251575967,,,295932.17698415316
2011-07-18,114542.08629197303,,,298260.0444638495
2011-07-25,114742.15401814813,,,300892.0425878669
2011-08-01,114828.71974237115,,,303815.0659740878
2011-08-08,114894.11809545581,,,306811.45124779706
2011-08-15,115037.9033212625,,,309640.33489708556
2011-08-22,115286.15373214018,,,312251.2820584718
2011-08-29,115577.3663899539,,,314810.01197815395
2011-09-05,115829.17648604528,,,317514.55756075267
2011-09-12,116017.35222704601,,,320402.1960022716
2011-09-19,116187.43856760615,,,323345.1317699804
2011-09-26,116394.22863673768,,,326215.9795768966
2011-10-03,116641.72806429269,,,329023.9832508358
2011-10-10,116889.2050375729,,,331877.2744816197
2011-10-17,117128.04978551122,,,334835.9392221923
2011-10-24,117354.03493736475,,,337557.6620338997
2011-10-31,117596.87648621415,,,340202.9053377941
2011-11-07,117846.50535126943,,,342718.40401229577
2011-11-14,118050.67238759926,,,345132.4979636791
2011-11-21,118175.91075071925,,,347463.0218790127
2011-11-28,118263.43979143548,,,349642.8263419771
2011-12-05,118409.53030194624,,,351565.8199151542
2011-12-12,118682.85604951422,,,353208.1576614313
2011-12-19,119064.36316532802,,,354687.9663646987
2011-12-26,119473.08509010913,,,356194.75808523386
2012-01-02,119848.69862090633,,,357858.85276182665
2012-01-09,120203.20315884084,,,359683.58165550284
2012-01-16,120592.96074801045,,,361585.76568336197
2012-01-23,121049.99750405169,,,363485.07504684536
2012-01-30,121548.77801346121,,,365359.9766112811
2012-02-06,122036.45443094973,,,367244.41831101145
2012-02-13,122483.40810499027,,,369192.94989832153
2012-02-20,122897.34800705887,,,371245.3128231296
2012-02-27,123294.73094147553,,,373402.66627431416
2012-03-05,123671.8968395358,,,375624.32052345894
2012-03-12,124010.67256989256,,,377854.87161441345
2012-03-19,124306.71633814275,,,380068.79587683076
2012-03-26,124732.05893893912,,,381965.5875189967
2012-04-02,125169.73650439864,,,383910.8500175197
2012-04-09,125633.83526271356,,,385906.6979488293
2012-04-16,126113.0066219339,,,387905.0625178484
2012-04-23,126587.93936025715,,,389860.72891973786
2012-04-30,127052.43292646145,,,391787.1780527821
2012-05-07,127517.86292702475,,,393739.7300450372
2012-05-14,128000.70942275973,,,395736.12988126255
2012-05-21,128507.07284042,,,397710.5795625237
2012-05-28,129026.71553065817,,,399568.17287467804
2012-06-04,129540.55207871365,,,401284.9247654475
2012-06-11,130037.53495835951,,,402932.8428689651
2012-06-18,130529.0455439278,,,404593.48035949067
2012-06-25,131044.43446777054,,,406264.9469134441
2012-07-02,131601.84177344016,,,407887.40894408355
2012-07-09,132174.77107962206,,,409469.11819926143
2012-07-16,132691.89580180668,,,411154.8754624647
2012-07-23,133086.00838430875,,,413124.13563228876
2012-07-30,133357.16017293846,,,415404.1134163458
2012-08-06,133587.48351877515,,,417805.1424248489
2012-08-13,133881.99273953968,,,420072.35710373655
2012-08-20,134283.56618271032,,,422112.1506875279
2012-08-27,135042.16233683692,,,424060.8469187597
2012-09-03,135773.522795192,,,426127.99938859703
2012-09-10,136439.60232766985,,,428386.6115486023
2012-09-17,137076.51598065582,,,430729.01074602245
2012-09-24,137743.00847953346,,,433014.0073994966
2012-10-01,138453.95239739504,,,435223.7988621808
2012-10-08,139173.05515283803,,,437458.7816031885
2012-10-15,139865.22776714072,,,439797.37487879395
2012-10-22,140539.03602105042,,,442195.87276410044
2012-10-29,141226.09068583188,,,444536.8309642817
2012-11-05,141925.77776560455,,,446750.19369219564
2012-11-12,142590.1781468527,,,448854.53664333787
2012-11-19,143177.0140227014,,,450877.54580366786
2012-11-26,143712.99864986088,,,452767.679393915
2012-12-03,144289.72507849144,,,454417.39046640345
2012-12-10,144987.10657020262,,,455780.3075897916
2012-12-17,145802.53157734024,,,456950.82213765424
2012-12-24,146660.60625632165,,,458115.2605018851
2012-12-31,147491.52688668983,,,459422.5846353691
2013-01-07,148294.1673862911,,,460898.6365249732
2013-01-14,149121.8717532267,,,462469.29842133424
2013-01-21,150015.2944062082,,,464047.9021044489
2013-01-28,150958.54641117158,,,465601.1360223086
2013-02-04,152310.38081710914,,,467010.7040188527
2013-02-11,153623.7450787022,,,468474.80602581723
2013-02-18,154900.9485710713,,,470037.9861968761
2013-02-25,156159.66440866035,,,471709.29242857744
2013-03-04,157400.5361692374,,,473454.4297699271
2013-03-11,158606.07925818625,,,475217.4078211142
2013-03-18,159767.6271482412,,,476964.57561786764
2013-03-25,160903.67802068737,,,478712.2139098721
2013-04-01,162046.9817373919,,,480502.4897642619
2013-04-08,163216.23832574513,,,482347.28982470004
2013-04-15,164403.88477865217,,,484205.0752650498
2013-04-22,165590.2392782842,,,486024.88184989174
2013-04-29,166765.82328660766,,,487808.312769646
2013-05-06,167939.44614311127,,,489608.226080306
2013-05-13,169127.93277969645,,,491454.84011455445
2013-05-20,170340.0509088444,,,493296.2117432012
2013-05-27,171568.3076098234,,,495035.0171958747
2013-06-03,172794.12038819253,,,496629.2714444953
2013-06-10,174003.6652434924,,,498137.66624376434
2013-06-17,175203.90905948647,,,499648.7350758539
2013-06-24,176422.51979218618,,,501177.8971180436
2013-07-01,177682.44314272594,,,502667.68816432584
2013-07-08,178966.58020769182,,,504105.1677136627
2013-07-15,180209.2835592468,,,505706.1751284446
2013-07-22,181337.57190200567,,,507564.8425307453
2013-07-29,182336.27892247806,,,509746.3489365602
2013-08-05,183275.30681174,,,512094.2857076168
2013-08-12,184262.17521625242,,,514347.71210114803
2013-08-19,185355.52345690393,,,516372.24466279225
2013-08-26,186520.87966816418,,,518269.2903807389
2013-09-02,187672.847834241,,,520252.571494169
2013-09-09,188760.4905094736,,,522429.33931608207
2013-09-16,189808.6553433332,,,524717.2954559635
2013-09-23,190877.6916483528,,,526966.9704257331
2013-09-30,191993.10682373302,,,529133.257021153
2013-10-07,193124.9330908601,,,531303.8052408339
2013-10-14,194233.4025777996,,,533571.8461829942
2013-10-21,195318.8468466442,,,535916.241203362
2013-10-28,196412.7767701721,,,538223.8014847842
2013-11-04,197523.4644576841,,,540409.1172695478
2013-11-11,198609.18485427112,,,542478.114195088
2013-11-18,199621.10895915263,,,544465.1412398324
2013-11-25,200571.3301224637,,,546335.0612920485
2013-12-02,201544.08494044415,,,547983.0127195666
2013-12-09,202628.03944862873,,,549342.9094571973
2013-12-16,203806.55429274618,,,550483.6992892864
2013-12-23,205043.38080926423,,,551776.4733605331
2013-12-30,206261.43266676282,,,553193.4640777108
2014-01-06,207445.9276149926,,,554783.9084148216
2014-01-13,208644.81718633894,,,556485.7945413312
2014-01-20,209905.86460632796,,,558208.3184146488
2014-01-27,211223.58481394663,,,559906.5089093108
2014-02-03,212548.6950701017,,,561597.7048111043
2014-02-10,213838.96128279765,,,563333.5583943693
2014-02-17,215090.43383089945,,,565162.5610553867
2014-02-24,216320.84557675314,,,567101.3608531414
2014-03-03,217535.12212631537,,,569122.7581876789
2014-03-10,218717.4412886833,,,571171.6945127612
