date,Chile,Colombia,Italy,Mexico,US
2021-04-26,8607835.0971118,20665679.228541333,28554305.051874444,16496541.810798932,229030636.61807773
2021-05-03,8875469.200983223,21470636.265401594,28985666.626228336,16626329.102422914,230763537.65861267
2021-05-10,9169115.233419277,22248796.80854613,29252890.73006368,16731077.02746481,232252900.55669865
2021-05-17,9480526.136371383,23223143.05675413,29406211.245754182,16831783.36937884,233313959.81622946
2021-05-24,9832480.81661531,24421731.379513267,29651449.57859403,16990531.622621596,233995468.18364596
2021-05-31,10184775.328361081,25677377.766887262,29674629.685391914,17124536.153566934,234854193.3885371
2021-06-07,10494524.58457646,27021267.745295096,29742984.829089914,17256526.627772782,235390186.83899662
2021-06-14,10736181.079636483,28430479.7349083,29791168.84969143,17452570.51856,235935700.25779128
2021-06-21,10917515.880896581,29882541.327060286,29824421.226177137,17679323.522688225,236659339.85429025
2021-06-28,11057298.617879512,31130615.878318097,29870207.703945212,17973141.41704597,237395100.60870126
2021-07-05,11164269.941404482,32089571.53501411,29940052.04917227,18400585.73724676,238781815.14018926
2021-07-12,11234387.376013169,32847110.52983477,30135126.193704046,18941846.462572105,240930261.01015282
2021-07-19,11290824.093592212,33365263.621108137,30389822.93496053,19666404.823565383,244410289.07889998
2021-07-26,11344430.792188115,33744962.19824266,30617020.639024366,20434859.762063447,249260932.69645426
2021-08-02,11381696.730937177,33990087.31637369,30951363.32810886,21306340.80015713,255507353.08997643
2021-08-09,11425350.615749516,34165398.751353756,31269850.673759375,22198511.11671762,262590087.06020156
2021-08-16,11454053.351860797,34292047.61362277,31569026.739432238,23020378.51678624,270163918.19586176
2021-08-23,11473148.769518895,34390507.1162662,31864746.07636523,23704387.119949352,278212980.1417831
2021-08-30,11501248.48905727,34475148.1770426,32118545.112722736,24323156.679362867,285469995.22230095
2021-09-06,11522696.795284169,34555571.01712476,32364495.935837835,24814119.697975434,292848888.6484143
2021-09-13,11545439.423599401,34626327.12866027,32544682.29553878,25226557.444161866,299232462.83558536
2021-09-20,11582227.332251709,34702642.09697363,32704200.098902784,25632766.926335335,304685142.71438676
2021-09-27,11616132.90606055,34774006.162870444,32817250.763460275,25919269.37682232,309607375.6050875
2021-10-04,11664523.19748175,34838666.17347656,32964360.184786607,26197035.48441487,313766691.3216503
2021-10-11,11735538.770658748,34907237.35267369,33115447.887899548,26397322.292852245,317596369.1223104
2021-10-18,11824554.022759194,34983204.340108715,33289511.005545802,26571807.192962307,321097812.3710735
2021-10-25,11914332.58482808,35064178.33929435,33514015.53459494,26716186.54037116,324755879.9762004
2021-11-01,12028135.02157118,35168354.513288155,33853780.16364026,26847702.7958416,328517551.12987185
2021-11-08,12150506.514918128,35287584.11383154,34248032.236082986,26969471.30274681,332928944.3323052
2021-11-15,12263640.714037253,35405420.185137324,34832715.20689135,27119503.46340964,337073433.1302644
2021-11-22,12368034.526049001,35518754.02891494,35435367.86243737,27240161.374473672,342033596.97724575
2021-11-29,12443576.226885933,35618696.48922452,36172319.76925546,27371757.841648262,347925777.4861444
2021-12-06,12515157.493917199,35708277.75720103,37154969.61377544,27479291.902880527,354067726.334836
2021-12-13,12573031.697439661,35812265.99682118,38674306.18995436,27589842.17475827,362827300.2723284
2021-12-20,12634413.958413757,36054578.04420996,42012955.73072602,27784873.99973978,379805481.4983864
2021-12-27,12730638.399095647,36757494.26406433,48472297.41754095,28402395.12438309,410772531.3185935
2022-01-03,12961464.548335854,38119722.4728155,57046960.378058955,29747681.857199896,449807414.2441509
2022-01-10,13448378.863065153,39585672.5216207,65781279.47105354,31615446.028569583,485808153.40578806
2022-01-17,14372614.595424125,40723180.72406492,73550187.57430673,33647367.864723474,515064153.64570916
2022-01-24,15839751.44855658,41500871.20559323,79332808.85265912,35336610.85918352,532655804.6010387
2022-01-31,17560326.804236464,42002984.28942396,83346136.0330982,36512327.10858905,543067455.73522
2022-02-07,19238588.731176227,42247067.53202965,86221155.53604117,37495352.87763605,548855403.9105248
2022-02-14,20693727.89784754,42394373.51708008,88499629.75450101,38259128.1376112,552484440.4371109
2022-02-21,21847776.324689195,42475411.247875914,90360383.13787632,38746150.784558974,555184953.5538893
2022-02-28,22755636.768524893,42523879.72928037,92461054.21166807,39111118.51131564,556999942.4758643
2022-03-07,23470510.13859286,42558066.739077955,95538136.15881397,39356651.14996936,558547918.6429174
2022-03-14,23976806.9505017,42575207.37758113,99005574.81549901,39488834.66561832,560026003.7498637
2022-03-21,24294941.705481816,42597482.350324735,102456502.78575474,39616828.84283183,561447217.9425282
2022-03-28,24502546.846477155,42606664.40743043,105666908.61198325,39901820.678567305,562963328.5506045
