date,Dengue,Zika,Chikungunya,Varicela
2010-03-15,72228.7890625,,,175822.875
2010-03-22,73955.65625,,,177116.21875
2010-03-29,75514.0859375,,,178378.6875
2010-04-05,77001.6015625,,,179627.3125
2010-04-12,78475.5390625,,,180916.5
2010-04-19,79883.7421875,,,182179.671875
2010-04-26,81239.6796875,,,183481.328125
2010-05-03,82547.0546875,,,184790.71875
2010-05-10,83827.9453125,,,186088.375
2010-05-17,85112.59375,,,187396.78125
2010-05-24,86377.765625,,,188735.421875
2010-05-31,87589.34375,,,190063.203125
2010-06-07,88788.375,,,191384.796875
2010-06-14,89926.84375,,,192697.171875
2010-06-21,90995.8671875,,,193960.1875
2010-06-28,92032.3125,,,195188.171875
2010-07-05,93031.8203125,,,196370.328125
2010-07-12,94006.78125,,,197563.9375
2010-07-19,94922.203125,,,198752.234375
2010-07-26,95832.1484375,,,199967.953125
2010-08-02,96720.1171875,,,201192.65625
2010-08-09,97566.5390625,,,202452.5
2010-08-16,98355.109375,,,203756.265625
2010-08-23,99095.4765625,,,205141.25
2010-08-30,99773.5,,,206579.828125
2010-09-06,100394.2109375,,,208111.328125
2010-09-13,100965.6953125,,,209734.921875
2010-09-20,101470.8125,,,211453.6875
2010-09-27,101932.3828125,,,213244.15625
2010-10-04,102352.796875,,,215122.625
2010-10-11,102740.7734375,,,217102.90625
2010-10-18,103101.6328125,,,219130.71875
2010-10-25,103429.2421875,,,221279.765625
2010-11-01,103725.1796875,,,223358.46875
2010-11-08,104013.2734375,,,225569.546875
2010-11-15,104290.984375,,,227734.984375
2010-11-22,104544.5625,,,229871.921875
2010-11-29,104781.078125,,,231930.078125
2010-12-06,105014.6328125,,,233889.609375
2010-12-13,105223.5703125,,,235742.90625
2010-12-20,105408.5390625,,,237491.8125
2010-12-27,105581.890625,,,239123.8125
2011-01-03,105740.3046875,,,240506.328125
2011-01-10,105974.9453125,,,241948.90625
2011-01-17,106274.578125,,,243403.171875
2011-01-24,106609.0625,,,244930.6875
2011-01-31,106939.25,,,246482.078125
2011-02-07,107272.5859375,,,248093.359375
2011-02-14,107582.234375,,,249713.84375
2011-02-21,107875.4296875,,,251344.859375
2011-02-28,108151.4921875,,,253067.71875
2011-03-07,108418.6953125,,,254847.578125
2011-03-14,108672.859375,,,256782.34375
2011-03-21,108905.4609375,,,258815.75
2011-03-28,109125.453125,,,261039.484375
2011-04-04,109354.9140625,,,263358.59375
2011-04-11,109573.9921875,,,265747.5625
