"date","Dengue","Zika","Chicungunya","Varicela"
2017-06-05,347899.064985155,75141.8211483769,76773.1084051988,580473.30743709
2017-06-12,348646.186200779,75142.1125537082,76779.2002413563,580473.30743709
2017-06-19,349392.239521268,75142.3608551074,76784.9582297639,580473.30743709
2017-06-26,350137.217850297,75142.5724281747,76790.4006240204,580473.30743709
2017-07-03,350881.114139033,75142.7527055419,76795.5446841761,580473.30743709
2017-07-10,351623.92138635,75142.9063163232,76800.4067303321,580473.30743709
2017-07-17,352365.632639017,75143.0372049484,76805.0021933991,580473.30743709
2017-07-24,353106.240991899,75143.1487324239,76809.3456631614,580473.30743709
2017-07-31,353845.739588145,75143.2437626214,76813.4509337838,580473.30743709
2017-08-07,354584.121619374,75143.3247358052,76817.3310468924,580473.30743709
2017-08-14,355321.380325855,75143.3937312869,76820.998332357,580473.30743709
2017-08-21,356057.508996688,75143.4525208128,76824.4644468909,580473.30743709
2017-08-28,356792.500969974,75143.5026140567,76827.7404105843,580473.30743709
2017-09-04,357526.349632987,75143.5452973837,76830.8366414787,580473.30743709
2017-09-11,358259.048422334,75143.5816668802,76833.7629882835,580473.30743709
2017-09-18,358990.590824122,75143.6126565002,76836.528761334,580473.30743709
2017-09-25,359720.970374109,75143.6390620462,76839.1427618824,580473.30743709
2017-10-02,360450.180657856,75143.6615616053,76841.6133098102,580473.30743709
2017-10-09,361178.215310879,75143.6807329608,76843.948269845,580473.30743709
2017-10-16,361905.068018789,75143.6970684293,76846.1550763618,580473.30743709
2017-10-23,362630.732517434,75143.7109875033,76848.2407568428,580473.30743709
2017-10-30,363355.202593031,75143.7228476228,76850.2119540687,580473.30743709
2017-11-06,364078.4720823,75143.7329533545,76852.0749471072,580473.30743709
2017-11-13,364800.534872587,75143.7415642128,76853.8356711645,580473.30743709
2017-11-20,365521.384901994,75143.7489013242,76855.49973636,580473.30743709
2017-11-27,366241.016159486,75143.7551531052,76857.0724454822,580473.30743709
2017-12-04,366959.422685017,75143.7604801016,76858.5588107792,580473.30743709
2017-12-11,367676.598569632,75143.7650191104,76859.9635698377,580473.30743709
2017-12-18,368392.537955576,75143.7688866935,76861.2912005981,580473.30743709
2017-12-25,369107.235036395,75143.7721821703,76862.5459355525,580473.30743709
2018-01-01,369820.684057035,75143.7749901689,76863.7317751697,580473.30743709
2018-01-08,370532.879313933,75143.7773827985,76864.8525005892,580473.30743709
2018-01-15,371243.815155108,75143.779421502,76865.9116856233,580473.30743709
2018-01-22,371953.485980246,75143.7811586334,76866.9127081049,580473.30743709
2018-01-29,372661.886240781,75143.7826388023,76867.8587606162,580473.30743709
2018-02-05,373369.010439972,75143.7839000194,76868.7528606324,580473.30743709
2018-02-12,374074.853132976,75143.7849746728,76869.5978601113,580473.30743709
2018-02-19,374779.408926916,75143.7858903598,76870.3964545592,580473.30743709
2018-02-26,375482.672480948,75143.786670595,76871.1511916027,580473.30743709
2018-03-05,376184.63850632,75143.7873354152,76871.8644790902,580473.30743709
2018-03-12,376885.30176643,75143.7879018929,76872.5385927525,580473.30743709
2018-03-19,377584.657076877,75143.7883845751,76873.1756834435,580473.30743709
2018-03-26,378282.699305511,75143.7887958573,76873.7777839852,580473.30743709
