date,Chile,Colombia,Italy,Mexico,US
2020-09-28,3334394.5518656783,6146792.6554823425,2450752.00662937,5456108.947953705,52731502.22418252
2020-10-05,3412220.402997556,6648391.066555524,2747820.4196343794,5981186.620715568,56217659.03689769
2020-10-12,3475362.6615500245,6911079.137053547,3432058.432018079,6176414.685029041,59530679.06299597
2020-10-19,3545846.9672910925,7346084.5707155,4443042.171507791,6386470.440143906,64156084.42548582
2020-10-26,3610814.558686164,7810912.342824938,5818814.029311195,6618708.3220637385,67728728.21359476
2020-11-02,3684996.425792043,8255488.054571034,7486167.4624175355,6925853.218558133,74683303.0299725
2020-11-09,3755726.4376338767,8581936.184481926,9194014.98374037,7185992.407866513,84438153.46558666
2020-11-16,3808459.7272096146,8918446.73725216,10583583.268378198,7425633.425098836,90901789.4792797
2020-11-23,3862900.9194867276,9424748.044857422,11596936.236302111,7967117.415593574,100391844.18059877
2020-11-30,3935521.1994692525,9847466.372091793,12463868.148855675,8460082.96370536,109835773.07882768
2020-12-07,4045499.1374724833,10226710.726869024,13181855.44551675,9004768.206845248,120799945.50108176
2020-12-14,4154286.7170456704,10893021.725199198,14134355.305983834,9474429.877628032,132369970.60087878
2020-12-21,4274352.722865533,11524454.051460182,14740602.59515182,9913866.645725353,141156196.95917755
2020-12-28,4385293.903992389,12079042.267919587,15569458.226720262,10468677.598450555,153422372.28202075
2021-01-04,4615979.891467765,13003865.875479268,16337937.337420184,11192814.466537131,164095028.29246056
2021-01-11,4820822.532664072,13831943.493031494,17015290.30205987,11927404.882111588,172380635.52915436
2021-01-18,5018025.030363692,14484842.797281116,17501231.148225885,12789205.325129882,180583222.700091
2021-01-25,5200177.557221807,14924300.866618041,18209135.61079086,13402937.069947876,189397891.0586834
2021-02-01,5371339.33694592,15343196.718924034,18746649.470349323,13690434.479661258,193776514.84578812
2021-02-08,5541982.508926238,15491718.358010095,19435845.99580033,14114247.045564877,196069246.0655112
