"date","Dengue","Zika","Chicungunya","Varicela"
2014-08-04,232461.775431185,NA,1550.39414036613,625710.470089277
2014-08-11,233229.15671693,NA,1881.62145205085,627832.546987202
2014-08-18,233996.474231138,NA,2259.26018815451,629954.20953898
2014-08-25,234763.724394375,NA,2687.55861406199,632075.426744446
2014-09-01,235530.903663116,NA,3170.86657116893,634196.167609448
2014-09-08,236298.008529629,NA,3713.55664115522,636316.401147996
2014-09-15,237065.035521854,NA,4319.92802383075,638436.096384411
2014-09-22,237831.981203284,NA,4994.09290670023,640555.222355473
2014-09-29,238598.84217284,NA,5739.8462948723,642673.74811255
2014-10-06,239365.615064752,NA,6560.52172761018,644791.642723739
2014-10-13,240132.296548436,NA,7458.83698378329,646908.875275988
2014-10-20,240898.883328362,NA,8436.73566777593,649025.414877214
2014-10-27,241665.372143937,NA,9495.23230617966,651141.23065842
2014-11-03,242431.759769373,NA,10634.27005751,653256.291775798
2014-11-10,243198.04301356,NA,11852.6010927269,655370.567412831
2014-11-17,243964.218719939,NA,13147.6998942107,657484.026782384
2014-11-24,244730.28376637,NA,14515.7189412102,659596.63912879
2014-12-01,245496.235065003,NA,15951.4943924673,661708.373729925
2014-12-08,246262.069562148,NA,17448.6064735642,663819.199899281
2014-12-15,247027.784238138,NA,18999.4955248436,665929.086988023
2014-12-22,247793.376107202,NA,20595.6304236576,668038.004387044
2014-12-29,248558.842217325,NA,22227.7218408648,670145.921529007
2015-01-05,249324.179650119,NA,23885.9690527721,672252.807890382
2015-01-12,250089.385520682,NA,25560.3262903799,674358.632993475
2015-01-19,250854.456977466,NA,27240.7732205965,676463.366408437
2015-01-26,251619.391202137,NA,28917.5742751438,678566.977755278
2015-02-02,252384.185409439,NA,30581.5131063571,680669.436705864
2015-02-09,253148.836847056,NA,32224.0911873983,682770.7129859
2015-02-16,253913.342795469,NA,33837.6830770628,684870.776376913
2015-02-23,254677.700567819,NA,35415.6446641802,686969.596718217
2015-03-02,255441.907509768,NA,36952.3743428026,689067.143908869
2015-03-09,256205.960999354,NA,38443.3301845656,691163.387909613
2015-03-16,256969.858446849,NA,39885.0085343554,693258.29874482
2015-03-23,257733.597294622,NA,41274.8909627505,695351.846504408
2015-03-30,258497.17501699,NA,42611.3671883615,697444.001345752
2015-04-06,259260.589120074,NA,43893.6415497175,699534.733495591
2015-04-13,260023.837141662,NA,45121.6300262775,701624.013251909
2015-04-20,260786.916651055,NA,46295.8538645742,703711.810985819
2015-04-27,261549.825248927,NA,47417.3347305934,705798.097143422
2015-05-04,262312.560567179,NA,48487.4951268185,707882.842247663
2015-05-11,263075.120268789,NA,49508.0666888892,709966.016900168
2015-05-18,263837.50204767,NA,50481.0079822629,712047.591783074
2015-05-25,264599.70362852,NA,51408.4325905424,714127.537660837
2015-06-01,265361.722766672,NA,52292.5476352791,716205.82538204
2015-06-08,266123.55724795,NA,53135.6023847804,718282.425881177
2015-06-15,266885.204888519,NA,53939.8462780609,720357.310180428
2015-06-22,267646.663534733,NA,54707.4954852088,722430.449391417
2015-06-29,268407.931062992,NA,55440.7070211801,724501.814716961
2015-07-06,269169.005379583,NA,56141.5594017547,726571.377452804
2015-07-13,269929.884420539,NA,56812.0388563123,728639.108989334
2015-07-20,270690.566151481,NA,57454.0301740717,730704.980813284
2015-07-27,271451.048567473,1.13574045941775,58069.3113440388,732768.964509428
2015-08-03,272211.329692867,3.81248019235781,58659.5512431767,734831.031762253
2015-08-10,272971.407581152,8.37404227325719,59226.3097243117,736891.154357618
2015-08-17,273731.280314805,15.5240067216735,59771.0395495709,738949.304184404
2015-08-24,274490.946005133,26.2981167579826,60295.0897032322,741005.453236138
2015-08-31,275250.402792129,42.1641890160583,60799.709697777,743059.573612615
2015-09-07,276009.648844312,65.1745339379893,61286.0545577451,745111.637521494
2015-09-14,276768.682358577,98.176690637836,61755.1902275719,747161.617279883
2015-09-21,277527.501560043,145.098152029127,62208.0992022729,749209.485315908
