date,dengue_no_split,zika,varicela,chicunguya
2/17/2014,208983.5958,,578009.779,
2/24/2014,209716.0504,,580477.9028,
3/3/2014,210449.1725,,582945.0872,
3/10/2014,211182.9584,,585411.2532,
3/17/2014,211917.4045,,587876.322,
3/24/2014,212652.5072,,590340.2154,
3/31/2014,213388.2629,,592802.8547,
4/7/2014,214124.6678,,595264.1614,
4/14/2014,214861.7182,,597724.0573,
4/21/2014,215599.4106,,600182.465,
4/28/2014,216337.7411,,602639.3067,
5/5/2014,217076.7061,,605094.5045,
5/12/2014,217816.3019,,607547.981,
5/19/2014,218556.5246,,609999.6591,
5/26/2014,219297.3705,,612449.4628,
6/2/2014,220038.8359,,614897.3146,39
6/9/2014,220780.917,,617343.1382,994.2541572
6/16/2014,221523.6098,,619786.8573,1958.49653
6/23/2014,222266.9107,,622228.3969,2927.890369
6/30/2014,223010.8158,,624667.681,3902.003216
7/7/2014,223755.3213,,627104.6341,4880.393831
7/14/2014,224500.4232,,629539.181,5862.612918
7/21/2014,225246.1177,,631971.2476,6848.203947
7/28/2014,225992.4009,,634400.7597,7836.703944
8/4/2014,226739.2689,,636827.6428,8827.644381
8/11/2014,227486.7178,,639251.8231,9820.552084
8/18/2014,228234.7438,,641673.2273,10814.94997
8/25/2014,228983.3428,,644091.783,11810.35812
9/1/2014,229732.5108,,646507.4172,12806.29473
9/8/2014,230482.244,,648920.0574,13802.27702
9/15/2014,231232.5384,,651329.6315,14797.82207
9/22/2014,231983.3899,,653736.0686,15792.44778
9/29/2014,232734.7945,,656139.2975,16785.67381
10/6/2014,233486.7483,,658539.2472,17777.02254
10/13/2014,234239.2472,,660935.8471,18766.01999
10/20/2014,234992.2871,,663329.0276,19752.19672
10/27/2014,235745.864,,665718.7197,20735.08869
11/3/2014,236499.9739,,668104.8538,21714.23811
11/10/2014,237254.6126,,670487.3612,22689.19429
11/17/2014,238009.776,,672866.1735,23659.51443
11/24/2014,238765.4602,,675241.2238,24624.76442
12/1/2014,239521.6609,,677612.4443,25584.51956
12/8/2014,240278.3741,,679979.7683,26538.36526
12/15/2014,241035.5955,,682343.1292,27485.89777
12/22/2014,241793.3211,,684702.4613,28426.72469
12/29/2014,242551.5466,,687057.6993,29360.46564
1/5/2015,243310.268,,689408.7782,30286.75275
1/12/2015,244069.4809,,691755.6338,31205.23119
1/19/2015,244829.1813,,694098.2023,32115.55978
1/26/2015,245589.3648,,696436.4204,33017.41093
2/2/2015,246350.0274,,698770.2248,33910.47117
2/9/2015,247111.1646,,701099.5536,34794.44119
2/16/2015,247872.7724,,703424.345,35669.03763
2/23/2015,248634.8465,,705744.538,36533.9916
3/2/2015,249397.3826,,708060.0718,37389.04908
3/9/2015,250160.3765,,710370.8859,38233.97139
3/16/2015,250923.8238,,712676.9209,39068.53527
3/23/2015,251687.7202,,714978.1178,39892.53283
3/30/2015,252452.0614,,717274.4183,40705.77152
4/6/2015,253216.8432,,719565.7642,41508.07407
4/13/2015,253982.0612,,721852.0982,42299.27841
4/20/2015,254747.711,,724133.3635,43079.23753
4/27/2015,255513.7884,,726409.5039,43847.81932
5/4/2015,256280.2889,,728680.4638,44604.90638
5/11/2015,257047.2081,,730946.1881,45350.39575
5/18/2015,257814.5418,,733206.6224,46084.19872
5/25/2015,258582.2855,,735461.7128,46806.24045
6/1/2015,259350.4348,,737711.4062,47516.45975
6/8/2015,260118.9853,,739955.6497,48214.80863
6/15/2015,260887.9327,,742194.3915,48901.25207
6/22/2015,261657.2725,,744427.58,49575.76753
6/29/2015,262427.0002,,746655.1644,50238.34465
7/6/2015,263197.1114,,748877.0947,50888.9848
7/13/2015,263967.6017,,751093.3212,51527.70066
7/20/2015,264738.4665,,753303.7949,52154.51582
7/27/2015,265509.7015,,755508.4675,52769.4643
8/3/2015,266281.3021,78,757707.2913,53372.59015
8/10/2015,267053.2638,1767.510304,759900.2193,53963.94698
8/17/2015,267825.5822,3421.23685,762087.2052,54543.59752
8/24/2015,268598.2527,5063.805531,764268.2029,55111.61317
8/31/2015,269371.2709,6694.153384,766443.1673,55668.07356
9/7/2015,270144.6321,8311.25079,768612.0541,56213.06608
9/14/2015,270918.332,9914.103849,770774.8192,56746.68544
9/21/2015,271692.3659,11501.75651,772931.4194,57269.03327
9/28/2015,272466.7293,13073.29265,775081.8121,57780.21761
10/5/2015,273241.4177,14627.83771,777225.9553,58280.35256
10/12/2015,274016.4265,16164.56021,779363.8077,58769.55782
10/19/2015,274791.7511,17682.67311,781495.3288,59247.95826
10/26/2015,275567.3869,19181.43498,783620.4783,59715.68357
11/2/2015,276343.3294,20660.1508,785739.2172,60172.86783
11/9/2015,277119.574,22118.17263,787851.5064,60619.64914
11/16/2015,277896.116,23554.90002,789957.308,61056.16923
11/23/2015,278672.9509,24969.78027,792056.5845,61482.57314
11/30/2015,279450.074,26362.30852,794149.2993,61899.00884
12/7/2015,280227.4807,27732.02755,796235.4162,62305.62691
12/14/2015,281005.1664,29078.52744,798314.8998,62702.58021
12/21/2015,281783.1265,30401.44506,800387.7153,63090.02357
1/4/2016,282561.3563,31700.46341,802453.8282,63468.11351
1/11/2016,283339.8513,32975.31074,804513.2054,63837.00788
