SEMANA,ANO,country,state,city,count,idx_city,Latitude,Longitude,date,week
1,2007,colombia,putumayo,valle del guamuez,1,COLOMBIA_PUTUMAYO_VALLE DEL GUAMUEZ,0.44932225000000003,-76.87845278479098,2007-01-07,07-01-2007
1,2007,colombia,putumayo,villagarzon,1,COLOMBIA_PUTUMAYO_VILLAGARZON,1.0306708,-76.61691,2007-01-07,07-01-2007
1,2007,colombia,quindio,armenia,1,COLOMBIA_QUINDIO_ARMENIA,4.536307,-75.6723751,2007-01-07,07-01-2007
1,2007,colombia,quindio,la tebaida,5,COLOMBIA_QUINDIO_LA TEBAIDA,4.4512175,-75.7887314,2007-01-07,07-01-2007
1,2007,colombia,quindio,montenegro,4,COLOMBIA_QUINDIO_MONTENEGRO,4.5664176,-75.7507081,2007-01-07,07-01-2007
1,2007,colombia,risaralda,dosquebradas,3,COLOMBIA_RISARALDA_DOSQUEBRADAS,4.8339551,-75.6713013,2007-01-07,07-01-2007
1,2007,colombia,risaralda,la virginia,2,COLOMBIA_RISARALDA_LA VIRGINIA,4.8995993,-75.8825661,2007-01-07,07-01-2007
1,2007,colombia,risaralda,pereira,7,COLOMBIA_RISARALDA_PEREIRA,4.7854606,-75.7883220137654,2007-01-07,07-01-2007
1,2007,colombia,santander,santander municipio desconocido,2,COLOMBIA_SANTANDER_* SANTANDER. MUNICIPIO DESCONOCIDO,,,2007-01-07,07-01-2007
1,2007,colombia,santander,bucaramanga,7,COLOMBIA_SANTANDER_BUCARAMANGA,7.16698415,-73.1047294009737,2007-01-07,07-01-2007
1,2007,colombia,santander,el carmen de chucuri,2,COLOMBIA_SANTANDER_EL CARMEN DE CHUCURI,6.6986924,-73.5115695,2007-01-07,07-01-2007
1,2007,colombia,santander,floridablanca,2,COLOMBIA_SANTANDER_FLORIDABLANCA,7.0625358,-73.0858228,2007-01-07,07-01-2007
1,2007,colombia,santander,giron,2,COLOMBIA_SANTANDER_GIRON,7.0732333,-73.1689196,2007-01-07,07-01-2007
1,2007,colombia,santander,piedecuesta,3,COLOMBIA_SANTANDER_PIEDECUESTA,6.9874808,-73.0504129,2007-01-07,07-01-2007
1,2007,colombia,santander,sabana de torres,1,COLOMBIA_SANTANDER_SABANA DE TORRES,7.3939416,-73.4998859,2007-01-07,07-01-2007
1,2007,colombia,santander,socorro,2,COLOMBIA_SANTANDER_SOCORRO,6.470518,-73.2623187,2007-01-07,07-01-2007
1,2007,colombia,sucre,corozal,1,COLOMBIA_SUCRE_COROZAL,9.3192389,-75.2947262,2007-01-07,07-01-2007
