SEMANA,ANO,Casos,DATE
12,2012,1981,2012-03-19
13,2012,1740,2012-03-26
14,2012,1734,2012-04-02
15,2012,2176,2012-04-09
16,2012,1961,2012-04-16
17,2012,2331,2012-04-23
18,2012,1956,2012-04-30
19,2012,2065,2012-05-07
20,2012,1882,2012-05-14
21,2012,2078,2012-05-21
22,2012,1898,2012-05-28
23,2012,1858,2012-06-04
24,2012,1774,2012-06-11
25,2012,1466,2012-06-18
26,2012,1555,2012-06-25
27,2012,1738,2012-07-02
28,2012,1981,2012-07-09
29,2012,1696,2012-07-16
30,2012,1835,2012-07-23
31,2012,1762,2012-07-30
32,2012,1849,2012-08-06
33,2012,1976,2012-08-13
34,2012,1942,2012-08-20
35,2012,2321,2012-08-27
36,2012,2200,2012-09-03
37,2012,2444,2012-09-10
38,2012,2598,2012-09-17
39,2012,2535,2012-09-24
40,2012,2625,2012-10-01
41,2012,2288,2012-10-08
42,2012,2801,2012-10-15
43,2012,2329,2012-10-22
44,2012,2540,2012-10-29
45,2012,2104,2012-11-05
46,2012,2220,2012-11-12
47,2012,2133,2012-11-19
48,2012,1859,2012-11-26
49,2012,1661,2012-12-03
50,2012,1519,2012-12-10
51,2012,1413,2012-12-17
52,2012,1134,2012-12-24
1,2013,1409,2012-12-31
2,2013,1485,2013-01-07
3,2013,1622,2013-01-14
4,2013,1579,2013-01-21
5,2013,1466,2013-01-28
6,2013,1519,2013-02-04
7,2013,1412,2013-02-11
8,2013,1583,2013-02-18
9,2013,1690,2013-02-25
10,2013,1665,2013-03-04
11,2013,1726,2013-03-11
12,2013,1536,2013-03-18
13,2013,1470,2013-03-25
14,2013,1988,2013-04-01
15,2013,1635,2013-04-08
16,2013,1815,2013-04-15
17,2013,1555,2013-04-22
18,2013,1731,2013-04-29
19,2013,1704,2013-05-06
20,2013,1565,2013-05-13
21,2013,1962,2013-05-20
22,2013,1599,2013-05-27
23,2013,1729,2013-06-03
24,2013,1543,2013-06-10
25,2013,1450,2013-06-17
26,2013,1332,2013-06-24
27,2013,1471,2013-07-01
28,2013,1634,2013-07-08
29,2013,1641,2013-07-15
30,2013,1653,2013-07-22
31,2013,1687,2013-07-29
32,2013,1793,2013-08-05
33,2013,1762,2013-08-12
34,2013,1899,2013-08-19
35,2013,2044,2013-08-26
36,2013,2121,2013-09-02
37,2013,2147,2013-09-09
38,2013,2320,2013-09-16
39,2013,2126,2013-09-23
40,2013,2234,2013-09-30
41,2013,2298,2013-10-07
42,2013,2718,2013-10-14
43,2013,2501,2013-10-21
44,2013,2462,2013-10-28
45,2013,2455,2013-11-04
46,2013,2463,2013-11-11
47,2013,2320,2013-11-18
48,2013,1957,2013-11-25
49,2013,1991,2013-12-02
50,2013,1649,2013-12-09
51,2013,1491,2013-12-16
52,2013,1228,2013-12-23
1,2014,1393,2013-12-30
2,2014,1672,2014-01-06
3,2014,1491,2014-01-13
4,2014,1694,2014-01-20
5,2014,1500,2014-01-27
6,2014,1563,2014-02-03
7,2014,1644,2014-02-10
8,2014,1787,2014-02-17
9,2014,1745,2014-02-24
10,2014,2007,2014-03-03
11,2014,2175,2014-03-10
12,2014,1989,2014-03-17
13,2014,2203,2014-03-24
14,2014,1990,2014-03-31
15,2014,1906,2014-04-07
16,2014,1661,2014-04-14
17,2014,2195,2014-04-21
18,2014,1994,2014-04-28
19,2014,2237,2014-05-05
20,2014,2004,2014-05-12
21,2014,2233,2014-05-19
22,2014,2073,2014-05-26
23,2014,2237,2014-06-02
24,2014,2124,2014-06-09
25,2014,1654,2014-06-16
26,2014,1728,2014-06-23
