week,google_physician,google_hospital,google_pharmacy,google_symptom,country
2021-11-08,14,6,9,19,CHL
2021-11-15,13,6,9,17,CHL
2021-11-22,15,6,8,17,CHL
2021-11-29,11,5,8,16,CHL
2021-12-06,12,6,8,15,CHL
2021-12-13,11,6,11,16,CHL
2021-12-20,12,6,12,20,CHL
2021-12-27,14,7,11,24,CHL
2022-01-03,13,7,11,29,CHL
2022-01-10,12,7,11,36,CHL
2022-01-17,14,8,13,35,CHL
2022-01-24,14,7,13,41,CHL
2022-01-31,13,7,12,39,CHL
2022-02-07,15,7,12,32,CHL
2022-02-14,12,7,9,28,CHL
2022-02-21,13,6,9,23,CHL
2022-02-28,13,7,9,23,CHL
2022-03-07,14,7,8,23,CHL
2022-03-14,13,7,9,20,CHL
2022-03-21,14,7,7,19,CHL
2022-03-28,13,7,8,19,CHL
2022-04-04,11,6,9,18,CHL
2022-04-11,13,6,8,19,CHL
2022-04-18,13,6,7,18,CHL
2022-04-25,13,7,10,18,CHL
2022-05-02,12,6,8,20,CHL
2022-05-09,12,7,8,22,CHL
2022-05-16,13,7,8,24,CHL
2022-05-23,11,7,8,20,CHL
2022-05-30,14,8,9,24,CHL
2022-06-06,13,8,9,23,CHL
2022-06-13,12,7,10,23,CHL
2022-06-20,11,7,9,21,CHL
2022-06-27,11,7,9,19,CHL
2022-07-04,10,6,8,19,CHL
2022-07-11,13,7,9,21,CHL
2022-07-18,14,8,8,21,CHL
2022-07-25,13,6,8,20,CHL
2022-08-01,11,7,9,21,CHL
2022-08-08,10,7,9,21,CHL
2022-08-15,11,8,8,22,CHL
2022-08-22,12,7,8,19,CHL
2022-08-29,11,7,8,19,CHL
2022-09-05,10,6,9,18,CHL
2022-09-12,11,7,15,20,CHL
2022-09-19,14,8,8,19,CHL
2022-09-26,13,7,9,17,CHL
2022-10-03,11,7,11,19,CHL
2022-10-10,13,8,9,20,CHL
2022-10-17,14,7,9,21,CHL
2022-10-24,11,7,12,23,CHL
2022-10-31,14,7,9,22,CHL
2022-11-07,14,7,9,23,CHL
2022-11-14,13,7,9,19,CHL
2022-11-21,16,6,9,19,CHL
2022-11-28,13,6,9,18,CHL
2022-12-05,12,10,9,19,CHL
2022-12-12,11,11,9,19,CHL
2022-12-19,13,13,11,19,CHL
2022-12-26,14,14,15,19,CHL
2023-01-02,14,16,11,19,CHL
2023-01-09,13,15,9,17,CHL
2023-01-16,14,15,10,18,CHL
2023-01-23,14,13,9,17,CHL
2023-01-30,13,13,10,17,CHL
2023-02-06,13,14,9,18,CHL
2023-02-13,13,13,8,19,CHL
2023-02-20,17,15,9,19,CHL
2023-02-27,18,16,9,19,CHL
2023-03-06,17,17,10,20,CHL
2023-03-13,17,17,11,19,CHL
2023-03-20,16,15,9,19,CHL
2023-03-27,15,14,10,20,CHL
2023-04-03,16,16,10,19,CHL
2023-04-10,16,15,9,19,CHL
2023-04-17,16,14,8,19,CHL
2023-04-24,16,14,14,18,CHL
2023-05-01,17,14,11,20,CHL
2023-05-08,22,16,10,22,CHL
2023-05-15,23,18,11,23,CHL
2023-05-22,19,15,9,19,CHL
2023-05-29,20,16,8,22,CHL
2023-06-05,19,16,10,22,CHL
2023-06-12,16,14,9,20,CHL
2023-06-19,15,14,10,19,CHL
2023-06-26,16,15,10,18,CHL
2023-07-03,14,15,9,17,CHL
2023-07-10,14,15,9,18,CHL
2023-07-17,14,15,9,18,CHL
2023-07-24,15,15,9,17,CHL
2023-07-31,15,15,9,17,CHL
2023-08-07,14,14,9,18,CHL
2023-08-14,15,15,9,18,CHL
2023-08-21,15,15,9,17,CHL
2023-08-28,14,15,9,18,CHL
2023-09-04,13,14,9,17,CHL
2023-09-11,13,13,18,18,CHL
2023-09-18,16,16,10,18,CHL
2023-09-25,16,14,9,16,CHL
2023-10-02,14,13,10,17,CHL
2023-10-09,16,17,10,19,CHL
2023-10-16,15,18,10,18,CHL
2023-10-23,14,14,10,17,CHL
2023-10-30,15,15,9,18,CHL
2023-11-06,14,14,9,18,CHL
2023-11-13,14,15,9,18,CHL
2023-11-20,15,15,10,17,CHL
2023-11-27,16,13,10,19,CHL
2023-12-04,13,15,10,16,CHL
2023-12-11,10,12,10,13,CHL
2023-12-18,12,12,12,16,CHL
2023-12-25,13,15,14,15,CHL
2019-12-23,23,7,4,21,COL
2019-12-30,32,9,4,26,COL
2020-01-06,34,8,4,25,COL
2020-01-13,36,9,4,29,COL
2020-01-20,34,11,4,33,COL
2020-01-27,39,10,5,26,COL
2020-02-03,30,9,4,25,COL
2020-02-10,28,9,4,22,COL
2020-02-17,29,9,4,35,COL
2020-02-24,29,9,5,44,COL
2020-03-02,31,9,5,61,COL
2020-03-09,28,9,5,100,COL
2020-03-16,30,10,7,64,COL
2020-03-23,28,10,6,44,COL
2020-03-30,31,8,6,40,COL
2020-04-06,40,8,6,38,COL
2020-04-13,27,8,5,31,COL
2020-04-20,24,7,5,29,COL
2020-04-27,23,8,5,29,COL
2020-05-04,24,8,5,31,COL
2020-05-11,25,8,5,31,COL
2020-05-18,24,7,5,30,COL
2020-05-25,23,8,5,28,COL
2020-06-01,26,7,5,30,COL
2020-06-08,22,6,5,29,COL
2020-06-15,25,7,5,34,COL
2020-06-22,24,6,6,35,COL
2020-06-29,27,8,5,39,COL
2020-07-06,26,7,5,44,COL
2020-07-13,27,8,5,39,COL
2020-07-20,30,8,5,38,COL
2020-07-27,25,7,5,35,COL
2020-08-03,25,7,5,30,COL
2020-08-10,26,7,5,30,COL
2020-08-17,26,7,4,27,COL
