,SEMANA,ANO,Casos,DATE
415,27,2023,1,2023-07-03
416,31,2023,1,2023-07-31
417,34,2023,1,2023-08-21
418,35,2023,1,2023-08-28
419,37,2023,2,2023-09-11
420,38,2023,1,2023-09-18
421,39,2023,3,2023-09-25
422,42,2023,1,2023-10-16
423,43,2023,5,2023-10-23
424,44,2023,3,2023-10-30
425,45,2023,1,2023-11-06
426,46,2023,2,2023-11-13
427,47,2023,1,2023-11-20
428,48,2023,1,2023-11-27
429,49,2023,1,2023-12-04
430,50,2023,1,2023-12-11
431,51,2023,2,2023-12-18
