SEMANA,ANO,idx,count,DATE
39,2015,ESE HOSPITAL REGIONAL DE DUITAMA_META_VILLAVICENCIO,1,2015-09-21
39,2015,ESE HOSPITAL LOCAL TURBACO_BOLIVAR_TURBACO,2,2015-09-21
39,2015,ESE HOSPITAL JUAN LUIS LONDOÑOG_NORTE SANTANDER_EL ZULIA,1,2015-09-21
39,2015,ESE HOSPITAL JOSE MARIA HERNANDEZ_PUTUMAYO_MOCOA,1,2015-09-21
39,2015,ESE HOSPITAL JOSE CAYETANO VASQUEZ_ANTIOQUIA_COCORNA,1,2015-09-21
39,2015,ESE CAMU EL AMPARO_CORDOBA_MONTERIA,1,2015-09-21
39,2015,CLINICA MADRE BERNARDA COMUNIDAD DE HERMANAS FRANC_BOLIVAR_CARTAGENA,1,2015-09-21
39,2015,CLINICA DE ESPECIALISTAS TURBACO CIA LTDA_BOLIVAR_TURBACO,10,2015-09-21
39,2015,ESE HOSPITAL REGIONAL DE SOGAMOSO_BOYACA_PAJARITO,1,2015-09-21
40,2015,HOSPITAL ZAMORA_ANTIOQUIA_BELLO,1,2015-09-28
40,2015,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII_ANTIOQUIA_BELLO,1,2015-09-28
40,2015,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII_ANTIOQUIA_CALDAS,1,2015-09-28
40,2015,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN_SAN ANDRES_SAN ANDRES,2,2015-09-28
40,2015,SECRETARIA DE SALUD MUNICIPAL DE TURBACO_BOLIVAR_TURBACO,1,2015-09-28
40,2015,SECRETARIA DE SALUD DE MEDELLIN_ANTIOQUIA_MEDELLIN,1,2015-09-28
40,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,40,2015-09-28
40,2015,ESE HOSPITAL SAN FRANCISCO DE SAN LUIS DE GACENO_BOYACA_SAN LUIS DE GACENO,1,2015-09-28
40,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA,2,2015-09-28
40,2015,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS_GUAJIRA_RIOHACHA,1,2015-09-28
40,2015,ESE UNIDAD DE SALUD SAN FRANCISCO DE ASIS_SUCRE_SINCELEJO,1,2015-09-28
40,2015,ESE HOSPITAL JOSE MARIA HERNANDEZ_PUTUMAYO_MOCOA,1,2015-09-28
40,2015,CAP LA CANDELARIA_BOLIVAR_CARTAGENA,1,2015-09-28
40,2015,CAP POZON_BOLIVAR_CARTAGENA,1,2015-09-28
40,2015,CLINICA DE ESPECIALISTAS TURBACO CIA LTDA_BOLIVAR_TURBACO,5,2015-09-28
40,2015,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA,1,2015-09-28
40,2015,COOMEVA EPS ATENCION SEDE NORTE_ATLANTICO_BARRANQUILLA,1,2015-09-28
40,2015,ESE HOSPITAL LA MERCED_ANTIOQUIA_BOLIVAR,2,2015-09-28
40,2015,ESE CENTRO DE SALUD SAN PABLO DE BORBUR_BOYACA_SAN PABLO DE BORBUR,1,2015-09-28
40,2015,ESE HOSPITAL CESAR UIRBE PIEDRAHITA_ANTIOQUIA_TARAZA,1,2015-09-28
40,2015,ESE CENTRO DE SALUD CHITARAQUE_BOYACA_CHITARAQUE,1,2015-09-28
40,2015,ESE HOSPITAL JOSE CAYETANO VASQUEZ_BOYACA_PUERTO BOYACA,3,2015-09-28
41,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,59,2015-10-05
41,2015,SECRETARIA DE SALUD DE MEDELLIN_ANTIOQUIA_MEDELLIN,1,2015-10-05
41,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_POLO NUEVO,1,2015-10-05
41,2015,LABORATORIO DEPARTAMENTAL DE SALUD PUBLICA LDSP_GUAVIARE_EL RETORNO,1,2015-10-05
41,2015,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN_SAN ANDRES_SAN ANDRES,2,2015-10-05
41,2015,HOSPITAL UNIVERSITARIO DE SINCELEJO ESE_SUCRE_SINCELEJO,1,2015-10-05
41,2015,HOSPITAL REGIONAL II NIVEL DE ATENCION VALLE DE TE_META_PUERTO GAITAN,1,2015-10-05
41,2015,ESE UNIDAD DE SALUD SAN FRANCISCO DE ASIS_SUCRE_SINCELEJO,2,2015-10-05
41,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA,4,2015-10-05
41,2015,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS_GUAJIRA_RIOHACHA,1,2015-10-05
41,2015,ESE HOSPITAL MARCO FIDEL SUAREZ_ANTIOQUIA_MEDELLIN,1,2015-10-05
41,2015,ESE HOSPITAL JOSE MARIA HERNANDEZ_PUTUMAYO_MOCOA,1,2015-10-05
41,2015,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE_BOLIVAR_CARTAGENA,1,2015-10-05
41,2015,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA,1,2015-10-05
41,2015,CLINICA COLSANITA SA_BOLIVAR_CARTAGENA,7,2015-10-05
41,2015,CAP LA CANDELARIA_BOLIVAR_CARTAGENA,1,2015-10-05
41,2015,ESE HOSPITAL REGIONAL DE DUITAMA_TOLIMA_IBAGUE,1,2015-10-05
42,2015,FUNDACION HOSPITAL UNIVERSITARIO METROPOLITANO_ATLANTICO_MALAMBO,1,2015-10-12
42,2015,ESE UNIDAD DE SALUD SAN FRANCISCO DE ASIS_SUCRE_SINCELEJO,1,2015-10-12
42,2015,ESE HOSPITAL UNIVERSITARIO DEL CARIBE_BOLIVAR_CARTAGENA,3,2015-10-12
42,2015,ESE HOSPITAL LOCAL SAN JACINTO_BOLIVAR_SAN JACINTO,1,2015-10-12
42,2015,ESE HOSPITAL SAN JUAN DE DIOS DE RIONEGRO_ANTIOQUIA_RIONEGRO,1,2015-10-12
42,2015,ESE HOSPITAL MARCO FIDEL SUAREZ_ANTIOQUIA_MEDELLIN,1,2015-10-12
42,2015,HOSPITAL NAVAL DE CARTAGENA_BOLIVAR_CARTAGENA,5,2015-10-12
42,2015,ESE HOSPITAL LOCAL MAHATES_BOLIVAR_MAHATES,2,2015-10-12
42,2015,ESE HOSPITAL SAN SIMON_CALDAS_VICTORIA,2,2015-10-12
42,2015,HOSPITAL REGIONAL II NIVEL DE ATENCION VALLE DE TE_BOYACA_CAMPOHERMOSO,1,2015-10-12
42,2015,MEDICOS ASOCIADOS_CUNDINAMARCA_GIRARDOT,1,2015-10-12
42,2015,IPS UNIVERSITARIA SEDE CAMINO BOSQUE DE MARIA_ATLANTICO_BARRANQUILLA,1,2015-10-12
42,2015,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN_SAN ANDRES_SAN ANDRES,23,2015-10-12
42,2015,NUEVO HOSPITAL BOCAGRANDE_BOLIVAR_CARTAGENA,4,2015-10-12
42,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA,4,2015-10-12
42,2015,SECRETARIA DE SALUD DE MEDELLIN_ANTIOQUIA_MEDELLIN,6,2015-10-12
42,2015,SECRETARIA DE SALUD DEPARTAMENTAL_CUNDINAMARCA_* CUNDINAMARCA. MUNICIPIO DESCONOCIDO,1,2015-10-12
42,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,51,2015-10-12
42,2015,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_TURBACO,4,2015-10-12
42,2015,ESE HOSPITAL JOSE MARIA HERNANDEZ_PUTUMAYO_VILLAGARZON,1,2015-10-12
42,2015,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII_ANTIOQUIA_CAÑASGORDAS,1,2015-10-12
42,2015,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_CARTAGENA,18,2015-10-12
42,2015,ESE HOSPITAL CESAR UIRBE PIEDRAHITA_ANTIOQUIA_EL BAGRE,1,2015-10-12
42,2015,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JOSE LA CEI_RISARALDA_LA CELIA,2,2015-10-12
42,2015,ESE CAMU EL AMPARO_CORDOBA_MONTERIA,1,2015-10-12
42,2015,BATALLON DE FUSILEROS DE INFANTERIA DE MARINA NO_BOLIVAR_CARTAGENA,1,2015-10-12
42,2015,CAP ARROZ BARATO_BOLIVAR_CARTAGENA,1,2015-10-12
42,2015,CAP BLAS DE LEZO_BOLIVAR_CARTAGENA,2,2015-10-12
