year_month,oni
2024-02,1.5
2024-03,1.1
2024-04,0.7
2024-05,0.4
2024-06,0.2
2024-07,0
2024-08,-0.1
2024-09,-0.2
2024-10,-0.3
2024-11,-0.4
2024-12,-0.5
2025-01,-0.6
2025-02,-0.4
2025-03,
2025-04,
2025-05,
2025-06,
2025-07,
2025-08,
2025-09,
2025-10,
2025-11,
2025-12,
