city,state,country,Latitude,Longitude,idx_city
pueblo nuevo,cordoba,colombia,8.5009416,-75.5080331,COLOMBIA_CORDOBA_PUEBLO NUEVO
puerto libertador,cordoba,colombia,7.696093100000001,-75.76757303723957,COLOMBIA_CORDOBA_PUERTO LIBERTADOR
sahagun,cordoba,colombia,8.9472964,-75.4434972,COLOMBIA_CORDOBA_SAHAGUN
san andres sotavento,cordoba,colombia,9.1457678,-75.5090819,COLOMBIA_CORDOBA_SAN ANDRES SOTAVENTO
san antero,cordoba,colombia,9.35585,-75.78632101255195,COLOMBIA_CORDOBA_SAN ANTERO
tierralta,cordoba,colombia,8.171791,-76.0601328,COLOMBIA_CORDOBA_TIERRALTA
tuchin,cordoba,colombia,9.1865401,-75.5551384,COLOMBIA_CORDOBA_TUCHIN
valencia,cordoba,colombia,8.1995857,-76.20309098658663,COLOMBIA_CORDOBA_VALENCIA
agua de dios,cundinamarca,colombia,4.3772853,-74.6694759,COLOMBIA_CUNDINAMARCA_AGUA DE DIOS
anapoima,cundinamarca,colombia,4.5493011,-74.5359119,COLOMBIA_CUNDINAMARCA_ANAPOIMA
fusagasuga,cundinamarca,colombia,4.3247005000000005,-74.39135684787772,COLOMBIA_CUNDINAMARCA_FUSAGASUGA
girardot,cundinamarca,colombia,4.306643,-74.8015665,COLOMBIA_CUNDINAMARCA_GIRARDOT
medina,cundinamarca,colombia,4.510562,-73.3507441,COLOMBIA_CUNDINAMARCA_MEDINA
nilo,cundinamarca,colombia,4.3065906,-74.6197608,COLOMBIA_CUNDINAMARCA_NILO
paratebueno,cundinamarca,colombia,4.3765197,-73.2125493,COLOMBIA_CUNDINAMARCA_PARATEBUENO
ricaurte,cundinamarca,colombia,4.2777357,-74.7718165,COLOMBIA_CUNDINAMARCA_RICAURTE
soacha,cundinamarca,colombia,4.5821413,-74.2197178,COLOMBIA_CUNDINAMARCA_SOACHA
tocaima,cundinamarca,colombia,4.4579274,-74.6342234,COLOMBIA_CUNDINAMARCA_TOCAIMA
villeta,cundinamarca,colombia,5.0112575,-74.4702304,COLOMBIA_CUNDINAMARCA_VILLETA
albania,guajira,colombia,11.1577716,-72.5992388,COLOMBIA_GUAJIRA_ALBANIA
dibulla,guajira,colombia,11.2722465,-73.3114396,COLOMBIA_GUAJIRA_DIBULLA
fonseca,guajira,colombia,10.7773005,-72.7985609,COLOMBIA_GUAJIRA_FONSECA
hatonuevo,guajira,colombia,11.0675576,-72.7600808,COLOMBIA_GUAJIRA_HATONUEVO
maicao,guajira,colombia,11.3773054,-72.2387633,COLOMBIA_GUAJIRA_MAICAO
manaure,guajira,colombia,11.7771128,-72.4469366,COLOMBIA_GUAJIRA_MANAURE
riohacha,guajira,colombia,11.236191300000002,-72.88204560476245,COLOMBIA_GUAJIRA_RIOHACHA
san juan del cesar,guajira,colombia,10.7735312,-73.0019165,COLOMBIA_GUAJIRA_SAN JUAN DEL CESAR
uribia,guajira,colombia,11.7148608,-72.265783,COLOMBIA_GUAJIRA_URIBIA
urumita,guajira,colombia,10.5555676,-73.012513,COLOMBIA_GUAJIRA_URUMITA
villanueva,guajira,colombia,10.59092785,-72.99240630315924,COLOMBIA_GUAJIRA_VILLANUEVA
calamar,guaviare,colombia,1.5495999,-72.97118968011344,COLOMBIA_GUAVIARE_CALAMAR
el retorno,guaviare,colombia,2.3305016,-72.6264183,COLOMBIA_GUAVIARE_EL RETORNO
miraflores,guaviare,colombia,1.32669885,-72.08680684642196,COLOMBIA_GUAVIARE_MIRAFLORES
san jose del guaviare,guaviare,colombia,2.5716141,-72.6426515,COLOMBIA_GUAVIARE_SAN JOSE DEL GUAVIARE
campoalegre,huila,colombia,2.6851032,-75.3263227,COLOMBIA_HUILA_CAMPOALEGRE
colombia,huila,colombia,3.3758991,-74.8019303,COLOMBIA_HUILA_COLOMBIA
gigante,huila,colombia,2.3948453,-75.52692389190892,COLOMBIA_HUILA_GIGANTE
guadalupe,huila,colombia,2.0248785,-75.7564049,COLOMBIA_HUILA_GUADALUPE
hobo,huila,colombia,2.5811045,-75.4494997,COLOMBIA_HUILA_HOBO
neiva,huila,colombia,2.9257038,-75.2893937,COLOMBIA_HUILA_NEIVA
palermo,huila,colombia,2.8896962,-75.4346589,COLOMBIA_HUILA_PALERMO
suaza,huila,colombia,1.9772874,-75.7946272,COLOMBIA_HUILA_SUAZA
el banco,magdalena,colombia,9.0049173,-73.9738472,COLOMBIA_MAGDALENA_EL BANCO
el reten,magdalena,colombia,10.612076,-74.2695268,COLOMBIA_MAGDALENA_EL RETEN
fundacion,magdalena,colombia,10.5155669,-74.1901088,COLOMBIA_MAGDALENA_FUNDACION
nueva granada,magdalena,colombia,9.8018198,-74.3923786,COLOMBIA_MAGDALENA_NUEVA GRANADA
pivijay,magdalena,colombia,10.4654031,-74.6169599,COLOMBIA_MAGDALENA_PIVIJAY
plato,magdalena,colombia,9.7904163,-74.7820016,COLOMBIA_MAGDALENA_PLATO
santa ana,magdalena,colombia,9.3229035,-74.5696573,COLOMBIA_MAGDALENA_SANTA ANA
santa martha,magdalena,colombia,11.1486749,-74.11324,COLOMBIA_MAGDALENA_SANTA MARTHA
sitio nuevo,magdalena,colombia,9.1530625,-74.1943236,COLOMBIA_MAGDALENA_SITIO NUEVO
acacias,meta,colombia,3.9887317,-73.767432,COLOMBIA_META_ACACIAS
castilla la nueva,meta,colombia,3.8275343,-73.6892805,COLOMBIA_META_CASTILLA LA NUEVA
cubarral,meta,colombia,3.7943159,-73.8390382,COLOMBIA_META_CUBARRAL
el castillo,meta,colombia,3.5647959,-73.7942913,COLOMBIA_META_EL CASTILLO
granada,meta,colombia,3.548259,-73.7051174,COLOMBIA_META_GRANADA
la uribe,meta,colombia,3.2413296,-74.3510657,COLOMBIA_META_LA URIBE
lejanias,meta,colombia,3.5265098,-74.0226232,COLOMBIA_META_LEJANIAS
mapiripan,meta,colombia,2.8933959,-72.132043,COLOMBIA_META_MAPIRIPAN
mesetas,meta,colombia,3.3840276,-74.0438661,COLOMBIA_META_MESETAS
puerto concordia,meta,colombia,2.77307455,-72.68629021595169,COLOMBIA_META_PUERTO CONCORDIA
puerto gaitan,meta,colombia,4.3120724,-72.0829509,COLOMBIA_META_PUERTO GAITAN
puerto lleras,meta,colombia,3.2697276,-73.3756016,COLOMBIA_META_PUERTO LLERAS
puerto rico,meta,colombia,2.9402122,-73.2051337,COLOMBIA_META_PUERTO RICO
san carlos de guaroa,meta,colombia,3.835189,-73.25984407006148,COLOMBIA_META_SAN CARLOS DE GUAROA
san martin,meta,colombia,3.6943897,-73.6952914,COLOMBIA_META_SAN MARTIN
villavicencio,meta,colombia,4.1347644,-73.6201517,COLOMBIA_META_VILLAVICENCIO
barbacoas,narino,colombia,1.6741037,-78.1364951,COLOMBIA_NARIÑO_BARBACOAS
cumbitara,narino,colombia,1.6476758,-77.5783622,COLOMBIA_NARIÑO_CUMBITARA
el charco,narino,colombia,2.4798209,-78.110793,COLOMBIA_NARIÑO_EL CHARCO
santa barbara iscuande,narino,colombia,2.4507682,-77.9798341,COLOMBIA_NARIÑO_SANTA BARBARA (ISCUANDE)
taminango,narino,colombia,1.5696216,-77.2772963,COLOMBIA_NARIÑO_TAMINANGO
tumaco,narino,colombia,1.8061434,-78.7635572,COLOMBIA_NARIÑO_TUMACO
abrego,norte santander,colombia,8.0818887,-73.2208717,COLOMBIA_NORTE SANTANDER_ABREGO
cucuta,norte santander,colombia,8.131792075077092,-72.8867588702224,COLOMBIA_NORTE SANTANDER_CUCUTA
los patios,norte santander,colombia,7.8342202,-72.5059128,COLOMBIA_NORTE SANTANDER_LOS PATIOS
ocana,norte santander,colombia,8.107919522660925,-72.8069503250875,COLOMBIA_NORTE SANTANDER_OCAÑA
salazar,norte santander,colombia,7.7849895,-72.8446027746108,COLOMBIA_NORTE SANTANDER_SALAZAR
villa del rosario,norte santander,colombia,7.8318933,-72.4717181,COLOMBIA_NORTE SANTANDER_VILLA DEL ROSARIO
mocoa,putumayo,colombia,1.1466295,-76.6482327,COLOMBIA_PUTUMAYO_MOCOA
orito,putumayo,colombia,0.6686314,-76.8749187,COLOMBIA_PUTUMAYO_ORITO
puerto leguizamo,putumayo,colombia,-0.1949861,-74.7806975,COLOMBIA_PUTUMAYO_PUERTO LEGUIZAMO
san miguel la dorada,putumayo,colombia,0.31137555,-76.94558787400646,COLOMBIA_PUTUMAYO_SAN MIGUEL (LA DORADA)
valle del guamuez,putumayo,colombia,0.44932225,-76.87845278479098,COLOMBIA_PUTUMAYO_VALLE DEL GUAMUEZ
villagarzon,putumayo,colombia,1.0306708,-76.61691,COLOMBIA_PUTUMAYO_VILLAGARZON
armenia,quindio,colombia,4.536307,-75.6723751,COLOMBIA_QUINDIO_ARMENIA
pereira,risaralda,colombia,4.7854606,-75.7883220137654,COLOMBIA_RISARALDA_PEREIRA
san andres,san andres,colombia,12.53759785,-81.72041550499901,COLOMBIA_SAN ANDRES_SAN ANDRES
barrancabermeja,santander,colombia,7.0673313,-73.8525627,COLOMBIA_SANTANDER_BARRANCABERMEJA
bucaramanga,santander,colombia,7.16698415,-73.1047294009737,COLOMBIA_SANTANDER_BUCARAMANGA
cimitarra,santander,colombia,6.3145415,-73.9496809,COLOMBIA_SANTANDER_CIMITARRA
floridablanca,santander,colombia,7.0625358,-73.0858228,COLOMBIA_SANTANDER_FLORIDABLANCA
giron,santander,colombia,7.0732333,-73.1689196,COLOMBIA_SANTANDER_GIRON
lebrija,santander,colombia,7.1138415,-73.2174056,COLOMBIA_SANTANDER_LEBRIJA
piedecuesta,santander,colombia,6.9874808,-73.0504129,COLOMBIA_SANTANDER_PIEDECUESTA
san gil,santander,colombia,6.5552856,-73.1312353,COLOMBIA_SANTANDER_SAN GIL
corozal,sucre,colombia,9.3192389,-75.2947262,COLOMBIA_SUCRE_COROZAL
los palmitos,sucre,colombia,9.3805529,-75.2681334,COLOMBIA_SUCRE_LOS PALMITOS
majagual,sucre,colombia,8.56187075,-74.72944564133846,COLOMBIA_SUCRE_MAJAGUAL
morroa,sucre,colombia,9.3344096,-75.305435,COLOMBIA_SUCRE_MORROA
ovejas,sucre,colombia,9.5538396,-75.18883090053416,COLOMBIA_SUCRE_OVEJAS
sampues,sucre,colombia,9.1845583,-75.3802368,COLOMBIA_SUCRE_SAMPUES
san juan de betulia,sucre,colombia,9.273499,-75.2431182,COLOMBIA_SUCRE_SAN JUAN DE BETULIA
san marcos,sucre,colombia,8.6618609,-75.1307644,COLOMBIA_SUCRE_SAN MARCOS
san pedro,sucre,colombia,9.39663005,-75.03354633922669,COLOMBIA_SUCRE_SAN PEDRO
since,sucre,colombia,9.2440111,-75.1474036,COLOMBIA_SUCRE_SINCE
sincelejo,sucre,colombia,9.2973386,-75.3926601,COLOMBIA_SUCRE_SINCELEJO
tolu,sucre,colombia,9.5241138,-75.5841794,COLOMBIA_SUCRE_TOLU
toluviejo,sucre,colombia,9.453506,-75.4392989,COLOMBIA_SUCRE_TOLUVIEJO
alpujarra,tolima,colombia,3.3910327,-74.9326005,COLOMBIA_TOLIMA_ALPUJARRA
armero guayabal,tolima,colombia,5.01730855,-74.84840940630394,COLOMBIA_TOLIMA_ARMERO (GUAYABAL)
chaparral,tolima,colombia,3.7245851,-75.485156,COLOMBIA_TOLIMA_CHAPARRAL
coyaima,tolima,colombia,3.7993906,-75.1945858,COLOMBIA_TOLIMA_COYAIMA
espinal,tolima,colombia,4.1503044,-74.8845895,COLOMBIA_TOLIMA_ESPINAL
flandes,tolima,colombia,4.2864999,-74.813697,COLOMBIA_TOLIMA_FLANDES
guamo,tolima,colombia,4.0303906,-74.9679007,COLOMBIA_TOLIMA_GUAMO
honda,tolima,colombia,5.210419,-74.7361921,COLOMBIA_TOLIMA_HONDA
ibague,tolima,colombia,4.4386033,-75.2108857,COLOMBIA_TOLIMA_IBAGUE
lerida,tolima,colombia,4.8609666,-74.9109405,COLOMBIA_TOLIMA_LERIDA
libano,tolima,colombia,4.9229399,-75.0647738,COLOMBIA_TOLIMA_LIBANO
mariquita,tolima,colombia,5.1974195,-74.8939527,COLOMBIA_TOLIMA_MARIQUITA
melgar,tolima,colombia,4.2039758,-74.6429479,COLOMBIA_TOLIMA_MELGAR
natagaima,tolima,colombia,3.6241727,-75.0930613,COLOMBIA_TOLIMA_NATAGAIMA
ortega,tolima,colombia,3.9340209,-75.2212672,COLOMBIA_TOLIMA_ORTEGA
prado,tolima,colombia,3.7201711,-74.86200186551633,COLOMBIA_TOLIMA_PRADO
purificacion,tolima,colombia,3.8582108,-74.9308216,COLOMBIA_TOLIMA_PURIFICACION
buenaventura,valle,colombia,3.8881929,-77.0738324,COLOMBIA_VALLE_BUENAVENTURA
buga,valle,colombia,3.9000578,-76.302013,COLOMBIA_VALLE_BUGA
cali,valle,colombia,3.4519988,-76.5325259,COLOMBIA_VALLE_CALI
candelaria,valle,colombia,3.4090481,-76.347379,COLOMBIA_VALLE_CANDELARIA
dagua,valle,colombia,3.658161,-76.6893973,COLOMBIA_VALLE_DAGUA
el cerrito,valle,colombia,3.6829185,-76.3071487,COLOMBIA_VALLE_EL CERRITO
el dovio,valle,colombia,4.511899,-76.238102,COLOMBIA_VALLE_EL DOVIO
palmira,valle,colombia,3.5308373,-76.2988048,COLOMBIA_VALLE_PALMIRA
san pedro,valle,colombia,3.9955682,-76.2280495,COLOMBIA_VALLE_SAN PEDRO
yumbo,valle,colombia,3.5834664,-76.4952223,COLOMBIA_VALLE_YUMBO
