city,state,country,Latitude,Longitude,idx_city,status,nearest_city
bajo baudo pizarro,choco,colombia,5.00181755,-77.15804531432612,COLOMBIA_CHOCO_BAJO BAUDO (PIZARRO),empty,COLOMBIA_CHOCO_ATRATO
condoto,choco,colombia,5.09567995,-76.51148371740939,COLOMBIA_CHOCO_CONDOTO,empty,COLOMBIA_CHOCO_SAN JOSE DEL PALMAR
riosucio,choco,colombia,7.4365576,-77.1122594,COLOMBIA_CHOCO_RIOSUCIO,empty,COLOMBIA_ANTIOQUIA_CHIGORODO
union panamericana,choco,colombia,5.2813079,-76.6293417,COLOMBIA_CHOCO_UNION PANAMERICANA,empty,COLOMBIA_CHOCO_ATRATO
ayapel,cordoba,colombia,8.3116711,-75.1445022,COLOMBIA_CORDOBA_AYAPEL,empty,COLOMBIA_CORDOBA_SAN CARLOS
lorica,cordoba,colombia,9.2394583,-75.8139786,COLOMBIA_CORDOBA_LORICA,empty,COLOMBIA_CORDOBA_COTORRA
los cordobas,cordoba,colombia,8.8922529,-76.3549184,COLOMBIA_CORDOBA_LOS CORDOBAS,empty,COLOMBIA_CORDOBA_SAN PELAYO
montelibano,cordoba,colombia,7.9800534,-75.4167198,COLOMBIA_CORDOBA_MONTELIBANO,empty,COLOMBIA_CORDOBA_SAN CARLOS
monitos,cordoba,colombia,9.2460394,-76.1315965,COLOMBIA_CORDOBA_MOÑITOS,empty,COLOMBIA_CORDOBA_SAN PELAYO
planeta rica,cordoba,colombia,8.4076739,-75.5840456,COLOMBIA_CORDOBA_PLANETA RICA,empty,COLOMBIA_CORDOBA_SAN CARLOS
pueblo nuevo,cordoba,colombia,8.5009416,-75.5080331,COLOMBIA_CORDOBA_PUEBLO NUEVO,empty,COLOMBIA_CORDOBA_SAN CARLOS
puerto libertador,cordoba,colombia,7.696093100000001,-75.76757303723957,COLOMBIA_CORDOBA_PUERTO LIBERTADOR,empty,COLOMBIA_ANTIOQUIA_CHIGORODO
sahagun,cordoba,colombia,8.9472964,-75.4434972,COLOMBIA_CORDOBA_SAHAGUN,empty,COLOMBIA_CORDOBA_CHINU
san antero,cordoba,colombia,9.35585,-75.78632101255195,COLOMBIA_CORDOBA_SAN ANTERO,empty,COLOMBIA_SUCRE_PALMITO
tierralta,cordoba,colombia,8.171791,-76.0601328,COLOMBIA_CORDOBA_TIERRALTA,empty,COLOMBIA_CORDOBA_MONTERIA
valencia,cordoba,colombia,8.1995857,-76.20309098658663,COLOMBIA_CORDOBA_VALENCIA,empty,COLOMBIA_ANTIOQUIA_APARTADO
anapoima,cundinamarca,colombia,4.5493011,-74.5359119,COLOMBIA_CUNDINAMARCA_ANAPOIMA,empty,COLOMBIA_CUNDINAMARCA_TOCAIMA
fusagasuga,cundinamarca,colombia,4.3247005000000005,-74.39135684787772,COLOMBIA_CUNDINAMARCA_FUSAGASUGA,empty,COLOMBIA_CUNDINAMARCA_SIBATE
medina,cundinamarca,colombia,4.510562,-73.3507441,COLOMBIA_CUNDINAMARCA_MEDINA,empty,COLOMBIA_META_CUMARAL
paratebueno,cundinamarca,colombia,4.3765197,-73.2125493,COLOMBIA_CUNDINAMARCA_PARATEBUENO,empty,COLOMBIA_META_CUMARAL
villeta,cundinamarca,colombia,5.0112575,-74.4702304,COLOMBIA_CUNDINAMARCA_VILLETA,empty,COLOMBIA_CUNDINAMARCA_SUPATA
albania,guajira,colombia,11.1577716,-72.5992388,COLOMBIA_GUAJIRA_ALBANIA,empty,COLOMBIA_GUAJIRA_RIOHACHA
dibulla,guajira,colombia,11.2722465,-73.3114396,COLOMBIA_GUAJIRA_DIBULLA,empty,COLOMBIA_GUAJIRA_RIOHACHA
fonseca,guajira,colombia,10.7773005,-72.7985609,COLOMBIA_GUAJIRA_FONSECA,empty,COLOMBIA_GUAJIRA_VILLANUEVA
hatonuevo,guajira,colombia,11.0675576,-72.7600808,COLOMBIA_GUAJIRA_HATONUEVO,empty,COLOMBIA_GUAJIRA_RIOHACHA
maicao,guajira,colombia,11.3773054,-72.2387633,COLOMBIA_GUAJIRA_MAICAO,empty,COLOMBIA_GUAJIRA_RIOHACHA
manaure,guajira,colombia,11.7771128,-72.4469366,COLOMBIA_GUAJIRA_MANAURE,empty,COLOMBIA_GUAJIRA_RIOHACHA
san juan del cesar,guajira,colombia,10.7735312,-73.0019165,COLOMBIA_GUAJIRA_SAN JUAN DEL CESAR,empty,COLOMBIA_GUAJIRA_VILLANUEVA
uribia,guajira,colombia,11.7148608,-72.265783,COLOMBIA_GUAJIRA_URIBIA,empty,COLOMBIA_GUAJIRA_RIOHACHA
calamar,guaviare,colombia,1.5495999,-72.97118968011344,COLOMBIA_GUAVIARE_CALAMAR,empty,COLOMBIA_GUAVIARE_EL RETORNO
miraflores,guaviare,colombia,1.32669885,-72.08680684642196,COLOMBIA_GUAVIARE_MIRAFLORES,empty,COLOMBIA_GUAVIARE_EL RETORNO
colombia,huila,colombia,3.3758991,-74.8019303,COLOMBIA_HUILA_COLOMBIA,empty,COLOMBIA_HUILA_VILLAVIEJA
gigante,huila,colombia,2.3948453,-75.52692389190892,COLOMBIA_HUILA_GIGANTE,empty,COLOMBIA_HUILA_CAMPOALEGRE
guadalupe,huila,colombia,2.0248785,-75.7564049,COLOMBIA_HUILA_GUADALUPE,empty,COLOMBIA_CAQUETA_FLORENCIA
hobo,huila,colombia,2.5811045,-75.4494997,COLOMBIA_HUILA_HOBO,empty,COLOMBIA_HUILA_CAMPOALEGRE
suaza,huila,colombia,1.9772874,-75.7946272,COLOMBIA_HUILA_SUAZA,empty,COLOMBIA_CAQUETA_FLORENCIA
