idx_city,elevation
COLOMBIA_NARIÑO_LA TOLA,1.0
COLOMBIA_BOYACA_ZETAQUIRA,1657.0
COLOMBIA_HUILA_YAGUARA,574.0
COLOMBIA_SANTANDER_CONFINES,1514.0
COLOMBIA_MAGDALENA_SALAMINA,7.0
COLOMBIA_NARIÑO_EL ROSARIO,1610.0
COLOMBIA_NORTE SANTANDER_CONVENCION,1011.0
COLOMBIA_VALLE_YOTOCO,998.0
COLOMBIA_BOLIVAR_CICUCO,15.0
COLOMBIA_BOYACA_MUZO,840.0
COLOMBIA_NORTE SANTANDER_CACHIRA,100.0
COLOMBIA_SANTANDER_SAN JOSE DE MIRANDA,1850.0
COLOMBIA_ANTIOQUIA_CAÑASGORDAS,1276.0
COLOMBIA_ANTIOQUIA_SANTA ROSA DE OSOS,2578.0
COLOMBIA_NORTE SANTANDER_HACARI,1041.0
COLOMBIA_RISARALDA_MISTRATO,1549.0
COLOMBIA_SANTANDER_CONTRATACION,1649.0
COLOMBIA_ANTIOQUIA_ANORI,1593.0
COLOMBIA_ANTIOQUIA_FRONTINO,1388.0
COLOMBIA_BOLIVAR_CANTAGALLO,62.0
COLOMBIA_CAUCA_BALBOA,1624.0
COLOMBIA_CAUCA_BOLIVAR,1307.0
COLOMBIA_CHOCO_ALTO BAUDO (PIE DE PATO),379.0
COLOMBIA_HUILA_LA ARGENTINA,1522.0
COLOMBIA_MAGDALENA_ALGARROBO,111.0
COLOMBIA_NORTE SANTANDER_TEORAMA,879.0
COLOMBIA_BOYACA_PAIPA,2514.0
COLOMBIA_SANTANDER_MOGOTES,1645.0
COLOMBIA_BOLIVAR_SAN JACINTO,240.0
COLOMBIA_CALDAS_AGUADAS,2177.0
COLOMBIA_NORTE SANTANDER_SAN CALIXTO,1627.0
COLOMBIA_ANTIOQUIA_SAN FRANCISCO,650.0
COLOMBIA_ANTIOQUIA_URAMITA,649.0
COLOMBIA_CHOCO_TADO,78.0
COLOMBIA_CUNDINAMARCA_CHOCONTA,2675.0
COLOMBIA_MAGDALENA_PUEBLOVIEJO,0.0
COLOMBIA_ANTIOQUIA_MACEO,948.0
COLOMBIA_SANTANDER_CHIMA,1145.0
COLOMBIA_SANTANDER_GUADALUPE,1445.0
COLOMBIA_CAUCA_SUCRE,1136.0
COLOMBIA_RISARALDA_GUATICA,1917.0
COLOMBIA_RISARALDA_SANTA ROSA DE CABAL,1697.0
COLOMBIA_SANTANDER_EL PEÑON,611.0
COLOMBIA_SANTANDER_PUERTO PARRA,122.0
COLOMBIA_SANTANDER_SAN ANDRES,1600.0
COLOMBIA_ANTIOQUIA_BRICENO,1450.0
COLOMBIA_BOYACA_EL ESPINO,2147.0
COLOMBIA_BOYACA_FIRAVITOBA,2744.0
COLOMBIA_BOYACA_SAN JOSE DE PARE,1664.0
COLOMBIA_CUNDINAMARCA_PULI,1280.0
COLOMBIA_AMAZONAS_LA CHORRERA (CD),118.0
