city,state,country,Latitude,Longitude,idx_city,status,nearest_city
armero guayabal,tolima,colombia,5.01730855,-74.84840940630394,COLOMBIA_TOLIMA_ARMERO (GUAYABAL),not_empty,COLOMBIA_TOLIMA_ARMERO (GUAYABAL)
espinal,tolima,colombia,4.1503044,-74.8845895,COLOMBIA_TOLIMA_ESPINAL,not_empty,COLOMBIA_TOLIMA_ESPINAL
flandes,tolima,colombia,4.2864999,-74.813697,COLOMBIA_TOLIMA_FLANDES,not_empty,COLOMBIA_TOLIMA_FLANDES
guamo,tolima,colombia,4.0303906,-74.9679007,COLOMBIA_TOLIMA_GUAMO,not_empty,COLOMBIA_TOLIMA_GUAMO
honda,tolima,colombia,5.210419,-74.7361921,COLOMBIA_TOLIMA_HONDA,not_empty,COLOMBIA_TOLIMA_HONDA
ibague,tolima,colombia,4.4386033,-75.2108857,COLOMBIA_TOLIMA_IBAGUE,not_empty,COLOMBIA_TOLIMA_IBAGUE
mariquita,tolima,colombia,5.1974195,-74.8939527,COLOMBIA_TOLIMA_MARIQUITA,not_empty,COLOMBIA_TOLIMA_MARIQUITA
melgar,tolima,colombia,4.2039758,-74.6429479,COLOMBIA_TOLIMA_MELGAR,not_empty,COLOMBIA_TOLIMA_MELGAR
buenaventura,valle,colombia,3.8881929,-77.0738324,COLOMBIA_VALLE_BUENAVENTURA,not_empty,COLOMBIA_VALLE_BUENAVENTURA
cali,valle,colombia,3.4519988,-76.5325259,COLOMBIA_VALLE_CALI,not_empty,COLOMBIA_VALLE_CALI
candelaria,valle,colombia,3.4090481,-76.347379,COLOMBIA_VALLE_CANDELARIA,not_empty,COLOMBIA_VALLE_CANDELARIA
el cerrito,valle,colombia,3.6829185,-76.3071487,COLOMBIA_VALLE_EL CERRITO,not_empty,COLOMBIA_VALLE_EL CERRITO
palmira,valle,colombia,3.5308373,-76.2988048,COLOMBIA_VALLE_PALMIRA,not_empty,COLOMBIA_VALLE_PALMIRA
yumbo,valle,colombia,3.5834664,-76.4952223,COLOMBIA_VALLE_YUMBO,not_empty,COLOMBIA_VALLE_YUMBO
mitu,vaupes,colombia,1.2538499,-70.2345576,COLOMBIA_VAUPES_MITU,not_empty,COLOMBIA_VAUPES_MITU
antioquia,antioquia,colombia,6.227259,-75.5719699,COLOMBIA_ANTIOQUIA_ANTIOQUIA,not_empty,COLOMBIA_ANTIOQUIA_ANTIOQUIA
envigado,antioquia,colombia,6.1701348,-75.587415,COLOMBIA_ANTIOQUIA_ENVIGADO,not_empty,COLOMBIA_ANTIOQUIA_ENVIGADO
tame,arauca,colombia,6.4615077,-71.7245069,COLOMBIA_ARAUCA_TAME,not_empty,COLOMBIA_ARAUCA_TAME
milan,caqueta,colombia,1.2900867,-75.5076247,COLOMBIA_CAQUETA_MILAN,not_empty,COLOMBIA_CAQUETA_MILAN
morelia,caqueta,colombia,1.4874697,-75.724859,COLOMBIA_CAQUETA_MORELIA,not_empty,COLOMBIA_CAQUETA_MORELIA
robles la paz,cesar,colombia,10.4062089,-73.1607159,COLOMBIA_CESAR_ROBLES (LA PAZ),not_empty,COLOMBIA_CESAR_ROBLES (LA PAZ)
san pelayo,cordoba,colombia,8.9920713,-75.90462715586233,COLOMBIA_CORDOBA_SAN PELAYO,not_empty,COLOMBIA_CORDOBA_SAN PELAYO
facatativa,cundinamarca,colombia,4.8097276,-74.3541838,COLOMBIA_CUNDINAMARCA_FACATATIVA,not_empty,COLOMBIA_CUNDINAMARCA_FACATATIVA
tenjo,cundinamarca,colombia,4.827453650000001,-74.15298508858267,COLOMBIA_CUNDINAMARCA_TENJO,not_empty,COLOMBIA_CUNDINAMARCA_TENJO
aipe,huila,colombia,3.2223559,-75.239962,COLOMBIA_HUILA_AIPE,not_empty,COLOMBIA_HUILA_AIPE
cumaral,meta,colombia,4.2711674,-73.4877694,COLOMBIA_META_CUMARAL,not_empty,COLOMBIA_META_CUMARAL
guamal,meta,colombia,3.8772676,-73.770142,COLOMBIA_META_GUAMAL,not_empty,COLOMBIA_META_GUAMAL
restrepo,meta,colombia,4.2597265,-73.5654839,COLOMBIA_META_RESTREPO,not_empty,COLOMBIA_META_RESTREPO
chinacota,norte santander,colombia,7.6084113,-72.6002682,COLOMBIA_NORTE SANTANDER_CHINACOTA,not_empty,COLOMBIA_NORTE SANTANDER_CHINACOTA
san cayetano,norte santander,colombia,7.83335325,-72.61018047055015,COLOMBIA_NORTE SANTANDER_SAN CAYETANO,not_empty,COLOMBIA_NORTE SANTANDER_SAN CAYETANO
chalan,sucre,colombia,9.5423971,-75.3129471,COLOMBIA_SUCRE_CHALAN,not_empty,COLOMBIA_SUCRE_CHALAN
el roble,sucre,colombia,9.1037704,-75.1952621,COLOMBIA_SUCRE_EL ROBLE,not_empty,COLOMBIA_SUCRE_EL ROBLE
palmito,sucre,colombia,9.3318248,-75.5422877,COLOMBIA_SUCRE_PALMITO,not_empty,COLOMBIA_SUCRE_PALMITO
carmen de apicala,tolima,colombia,4.1474415,-74.7205105,COLOMBIA_TOLIMA_CARMEN DE APICALA,not_empty,COLOMBIA_TOLIMA_CARMEN DE APICALA
yondo casabe,antioquia,colombia,7.0044426,-73.9113922,COLOMBIA_ANTIOQUIA_YONDO (CASABE),not_empty,COLOMBIA_ANTIOQUIA_YONDO (CASABE)
ponedera,atlantico,colombia,10.6396006,-74.7501675,COLOMBIA_ATLANTICO_PONEDERA,not_empty,COLOMBIA_ATLANTICO_PONEDERA
victoria,caldas,colombia,5.3167944,-74.9120079,COLOMBIA_CALDAS_VICTORIA,not_empty,COLOMBIA_CALDAS_VICTORIA
san carlos,cordoba,colombia,8.7961712,-75.6996344,COLOMBIA_CORDOBA_SAN CARLOS,not_empty,COLOMBIA_CORDOBA_SAN CARLOS
puerto inirida,guainia,colombia,3.8650368,-67.9259848,COLOMBIA_GUAINIA_PUERTO INIRIDA,not_empty,COLOMBIA_GUAINIA_PUERTO INIRIDA
rivera,huila,colombia,2.7776396,-75.2572183,COLOMBIA_HUILA_RIVERA,not_empty,COLOMBIA_HUILA_RIVERA
el tambo,narino,colombia,1.4081573,-77.3918509,COLOMBIA_NARIÑO_EL TAMBO,not_empty,COLOMBIA_NARIÑO_EL TAMBO
policarpa,narino,colombia,1.6284964,-77.4598774,COLOMBIA_NARIÑO_POLICARPA,not_empty,COLOMBIA_NARIÑO_POLICARPA
el zulia,norte santander,colombia,8.09548865,-72.64637754651707,COLOMBIA_NORTE SANTANDER_EL ZULIA,not_empty,COLOMBIA_NORTE SANTANDER_EL ZULIA
santiago,norte santander,colombia,7.8644479,-72.7165562,COLOMBIA_NORTE SANTANDER_SANTIAGO,not_empty,COLOMBIA_NORTE SANTANDER_SANTIAGO
puerto asis,putumayo,colombia,0.4979751,-76.4951418,COLOMBIA_PUTUMAYO_PUERTO ASIS,not_empty,COLOMBIA_PUTUMAYO_PUERTO ASIS
salento,quindio,colombia,4.6373012,-75.569799,COLOMBIA_QUINDIO_SALENTO,not_empty,COLOMBIA_QUINDIO_SALENTO
buenavista,sucre,colombia,9.3196186,-74.9745867,COLOMBIA_SUCRE_BUENAVISTA,not_empty,COLOMBIA_SUCRE_BUENAVISTA
galeras nueva granada,sucre,colombia,9.160911,-75.0479142,COLOMBIA_SUCRE_GALERAS (NUEVA GRANADA),not_empty,COLOMBIA_SUCRE_GALERAS (NUEVA GRANADA)
