date,country,new_cases,cases,co,no2,o3,pm10,pm25,so2,year,population,Mean_distance_avg_14day_movavg,StringencyIndex_Average
2021-08-02,Mexico,116825,20445951,9.466363636363637,8.833531746031747,15.881406926406926,22.16212121212121,76.60833333333333,3.0782717282717287,2021,127241179,23.67142857142857,67.13
2021-08-09,Mexico,120154,21294653,9.346493506493506,8.238903318903319,17.169300144300145,22.42748917748918,50.91898577612863,3.1353663003663,2021,127241179,22.677142857142858,67.13
2021-08-16,Mexico,133102,22198865,9.571233766233766,7.6372113997114,15.719350649350648,44.43744588744588,100.96767676767676,3.5105311355311355,2021,127241179,21.740000000000002,67.13
2021-08-23,Mexico,110627,23020263,15.546103896103897,7.268253968253968,14.361688311688312,26.571428571428573,73.52380952380952,3.7231018981018984,2021,127241179,21.165714285714284,67.13
2021-08-30,Mexico,92684,23705864,9.203571428571427,8.727142857142857,12.929578754578754,19.990909090909092,50.074603174603176,3.4636446886446888,2021,127241179,20.650000000000002,61.57
2021-09-06,Mexico,83498,24326600,15.738008658008658,8.223015873015873,18.804853479853477,21.16883116883117,46.095238095238095,3.251023976023976,2021,127241179,20.352857142857143,38.89
2021-09-13,Mexico,57795,24812076,9.413116883116883,13.857380952380952,14.225281385281386,20.03203463203463,56.01587301587302,3.034099234099234,2021,127241179,20.562857142857144,38.89
2021-09-20,Mexico,63123,25235783,9.86017316017316,22.725082972582975,24.671813186813186,23.762987012987015,87.07662337662337,13.166655566655567,2021,127241179,21.354285714285712,38.89
2021-09-27,Mexico,46180,25630595,14.578600803957949,11.179841269841267,15.114523809523808,23.63654916512059,63.18452380952381,4.5510745207173775,2021,127241179,21.96,38.89
2021-10-04,Mexico,44255,25919661,9.883116883116884,9.007142857142856,17.584615384615383,81.5,70.44285714285715,6.4261904761904765,2021,127241179,21.91,38.89
2021-10-11,Mexico,33821,26202973,9.782597402597403,10.254495464852608,15.561272061272062,109.23116883116883,76.00436507936509,3.7331457431457435,2021,127241179,21.812857142857144,38.89
2021-10-18,Mexico,24605,26402003,22.547604617604616,22.61278344671202,12.21674603174603,39.374025974025976,79.47806122448979,3.5704138321995464,2021,127241179,22.318571428571428,38.89
